Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Phase,Pm,ΔH,ΔS,Ω,δ-r,VEC,n,e/n,Tm,ρ,r,χ,m,e/a,Ec,EWF,ABE,SHA,SLHF,α,HD,YM,B,G,υ,G/B,ad-VEC,ad-n,ad-e/n,ad-Tm,ad-ρ,ad-r,ad-χ,ad-m,ad-e/a,ad-Ec,ad-EWF,ad-ABE,ad-SHA,ad-SLHF,ad-α,ad-HD,ad-YM,ad-B,ad-G,ad-υ,ad-G/B,δ-VEC,δ-n,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-m,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SHA,δ-SLHF,δ-α,δ-HD,δ-YM,δ-B,δ-G,δ-υ,δ-G/B
7.692307692,30.76923077,0,0,30.76923077,30.76923077,0,0,0,0,0,0,0,0,0,FCC,3,-5.4338,10.686,3.3524,0.0394,8.5385,25.9231,0.3249,1704.6923,8.0938,126.0315,1.8531,55.4512,2.0769,4.2946,4.8369,60.2846,7.5192,2.1538,13.7846,145.1538,196.1538,175.5154,65.3538,0.3332,0.3792,1.1834,1.9882,0.025,118.7219,0.9614,2.6367,0.0516,4.3799,0.142,0.1482,0.293,5.0651,1.0409,0.2907,1.5195,69.3491,19.4083,20.2272,20.9183,0.0446,0.1117,0.2086,0.1471,0.1027,0.1321,0.2003,0.0416,0.1502,0.1283,0.0626,0.0644,0.1346,0.2353,0.1874,0.2139,0.5708,0.1871,0.1745,0.3318,0.1477,0.3252
14.28571429,28.57142857,0,0,28.57142857,28.57142857,0,0,0,0,0,0,0,0,0,BCC+FCC,3,-8.6183,11.2386,2.1511,0.0511,8.1429,25,0.3181,1649.5714,7.7086,127.2557,1.8357,53.4177,2.1429,4.23,4.7971,58.3857,7.11,2.0771,14.4857,135.8571,187.1429,168.6429,62.7714,0.3334,0.3786,1.551,3.4286,0.0309,204.7347,1.431,4.5469,0.0678,7.5531,0.2449,0.24,0.3176,7.0531,1.52,0.3576,2.6041,75.0204,33.4694,26.6367,22.3755,0.0416,0.1045,0.274,0.1983,0.1265,0.1784,0.2712,0.0529,0.2035,0.1633,0.0824,0.0694,0.178,0.3171,0.2298,0.2625,0.6374,0.2566,0.2285,0.3645,0.1423,0.314
20,26.66666667,0,0,26.66666667,26.66666667,0,0,0,0,0,0,0,0,0,BCC+FCC,3,-10.9336,11.4674,1.68,0.0579,7.8,24.2,0.3123,1601.8,7.3747,128.3167,1.8207,51.6553,2.2,4.174,4.7627,56.74,6.7553,2.0107,15.0933,127.8,179.3333,162.6867,60.5333,0.3336,0.378,1.92,4.48,0.0351,267.52,1.8699,5.9413,0.0843,9.8693,0.32,0.3136,0.3332,9.216,1.9861,0.4046,3.4027,78.6133,43.7333,33.3547,23.2711,0.039,0.0981,0.3216,0.2334,0.1427,0.2096,0.322,0.0601,0.2401,0.1818,0.095,0.0727,0.2076,0.3776,0.2606,0.2863,0.6958,0.3058,0.2667,0.3905,0.1374,0.3038
25,25,0,0,25,25,0,0,0,0,0,0,0,0,0,BCC,3,-12.6209,11.5256,1.4246,0.0623,7.5,23.5,0.3072,1560,7.0825,129.245,1.8075,50.1133,2.25,4.125,4.7325,55.3,6.445,1.9525,15.625,120.75,172.5,157.475,58.575,0.3337,0.3775,2.25,5.25,0.0382,313.5,2.1913,6.9625,0.0987,11.5656,0.375,0.3675,0.3425,10.8,2.3275,0.4375,3.9875,80.75,51.25,39.0875,23.775,0.0368,0.0925,0.359,0.2597,0.1545,0.2328,0.3618,0.065,0.2676,0.1925,0.1038,0.0751,0.2296,0.4262,0.2843,0.2984,0.7481,0.3439,0.296,0.4116,0.133,0.2946
0,33.33333333,0,0,33.33333333,33.33333333,0,0,0,0,0,0,0,0,0,FCC,4,-1.0238,9.1338,15.7821,0.0032,9,27,0.3327,1769,8.5433,124.6033,1.8733,57.8237,2,4.37,4.8833,62.5,7.9967,2.2433,12.9667,156,206.6667,183.5333,68.3667,0.333,0.38,0.6667,0.6667,0.0167,28,0.4422,0.3311,0.0289,1.3191,0,0.06,0.2556,2.5333,0.5689,0.2378,0.7778,64.6667,4.4444,11.2222,18.6444,0.048,0.12,0.0907,0.0302,0.0606,0.0192,0.055,0.0176,0.0243,0,0.0153,0.0569,0.044,0.0818,0.12,0.0655,0.4927,0.0231,0.0732,0.2894,0.1538,0.3377
15.78947368,21.05263158,21.05263158,0,21.05263158,21.05263158,0,0,0,0,0,0,0,0,0,BCC+FCC,2,-10.248,13.3319,2.2422,0.0529,7.4211,24.1579,0.2992,1723.5263,7.3358,127.5995,1.7868,51.7271,1.9474,4.1584,4.7074,56.3316,7.1479,2.1937,13.2211,119.8421,200.3158,161.9737,71.8947,0.3076,0.45,1.9945,3.59,0.0423,249.6399,1.5253,4.917,0.1093,7.8142,0.3989,0.2673,0.3096,7.7917,1.692,0.4601,3.5546,68.7645,41.2853,27.2332,26.7435,0.05,0.1305,0.3162,0.2077,0.1573,0.2206,0.2878,0.0656,0.213,0.3105,0.085,0.0692,0.1863,0.3344,0.2667,0.3994,0.6717,0.3167,0.2382,0.4231,0.2106,0.384
23.80952381,19.04761905,19.04761905,0,19.04761905,19.04761905,0,0,0,0,0,0,0,0,0,BCC,2,-12.5614,13.3448,1.751,0.0611,7,23.0952,0.2927,1648.2381,6.8943,129.0824,1.77,49.3704,2.0476,4.0852,4.6667,54.1762,6.6376,2.0876,14.2095,109.8571,187.9048,154.1,67.8286,0.3103,0.4424,2.2857,4.8073,0.0457,340.5896,1.9973,6.7084,0.1181,10.6611,0.4535,0.3311,0.3111,9.7506,2.3084,0.5322,4.4717,69.8231,56.1451,35.619,28.8435,0.0483,0.1268,0.3689,0.2507,0.1676,0.2607,0.3519,0.0695,0.2583,0.3189,0.0991,0.0717,0.2213,0.4165,0.3092,0.4134,0.7512,0.3802,0.2855,0.4648,0.2004,0.3753
10,20,20,0,20,20,10,0,0,0,0,0,0,0,0,IM,3,-8.1872,14.5336,3.3378,0.0487,7.5,26.5,0.287,1880.3,7.857,127.687,1.833,57.3866,1.8,4.463,4.718,58.83,7.618,2.328,11.89,136.1,219.7,176.41,79.21,0.3052,0.456,1.8,3.9,0.0549,323.02,1.2982,4.8112,0.115,8.8538,0.48,0.4714,0.2856,6.69,1.3088,0.46,3.67,71.1,45.58,30.15,25.526,0.0461,0.122,0.2813,0.2505,0.2248,0.2489,0.2457,0.0832,0.2746,0.3333,0.1881,0.0646,0.1626,0.2684,0.238,0.4282,0.5949,0.2969,0.2487,0.3997,0.206,0.3672
24.99375156,16.67083229,16.67083229,0,16.67083229,16.67083229,8.32291927,0,0,0,0,0,0,0,0,IM,3,-12.3507,14.5339,2.0268,0.0621,6.7506,24.2492,0.2776,1722.3687,6.9976,130.2651,1.7958,52.3169,2,4.284,4.6451,54.6424,6.647,2.12,13.8415,115.915,194.7488,160.222,70.8736,0.3103,0.4417,2.25,5.7063,0.0551,394.5857,2.1483,7.4487,0.1382,12.7713,0.4999,0.5095,0.2867,10.4686,2.4279,0.5766,4.878,76.0613,62.3588,40.7583,30.992,0.0444,0.1164,0.3783,0.3247,0.2251,0.3217,0.3726,0.0903,0.3499,0.3535,0.2017,0.0694,0.2343,0.4308,0.3241,0.4606,0.7471,0.4189,0.3368,0.4852,0.1886,0.3537
30.76923077,15.38461538,15.38461538,0,15.38461538,15.38461538,7.692307692,0,0,0,0,0,0,0,0,IM,3,-13.364,14.2324,1.7697,0.0648,6.4615,23.3846,0.274,1661.6923,6.6669,131.26,1.7815,50.3702,2.0769,4.2154,4.6169,53.0308,6.2731,2.04,14.5923,108.1538,185.1538,154,67.6692,0.3123,0.4362,2.3432,6.3905,0.0542,448.426,2.4412,8.0985,0.143,14.3927,0.568,0.5434,0.2819,11.8959,2.7588,0.6185,5.5432,76.1893,70.8639,45.9692,32.0639,0.0431,0.1134,0.41,0.348,0.2239,0.3445,0.4132,0.0918,0.3741,0.3514,0.205,0.0703,0.2547,0.4847,0.351,0.456,0.8085,0.4599,0.3647,0.5151,0.1814,0.3468
