Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Phase,Pm,ΔH,ΔS,Ω,δ-r,VEC,n,e/n,Tm,ρ,r,χ,m,e/a,Ec,EWF,ABE,SHA,SLHF,α,HD,YM,B,G,υ,G/B,ad-VEC,ad-n,ad-e/n,ad-Tm,ad-ρ,ad-r,ad-χ,ad-m,ad-e/a,ad-Ec,ad-EWF,ad-ABE,ad-SHA,ad-SLHF,ad-α,ad-HD,ad-YM,ad-B,ad-G,ad-υ,ad-G/B,δ-VEC,δ-n,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-m,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SHA,δ-SLHF,δ-α,δ-HD,δ-YM,δ-B,δ-G,δ-υ,δ-G/B
0.0,0.0,26.0416667,3.6458333,26.0416667,0.0,0.0,0.0,0.0,0.0,0.0,26.0416667,18.2291667,0.0,0.0,BCC+FCC,3,-1.2339,12.3228,19.3168,0.0336,6.625,24.625,0.2667,1934.224,7.2059,128.3911,1.6852,53.6813,1.7031,4.2246,4.3805,54.2651,7.9013,2.2981,11.4135,192.1875,201.7708,153.4318,79.9797,0.2793,0.5257,1.1719,1.1719,0.0344,257.5792,0.5738,4.0808,0.0911,2.3044,0.4175,0.5941,0.1442,6.4087,0.8685,0.3031,4.337,112.2233,45.0304,11.8774,18.7712,0.0504,0.1392,0.2137,0.0575,0.1517,0.1456,0.1027,0.0635,0.0519,0.2683,0.1896,0.0369,0.1531,0.14,0.1536,0.4795,0.7696,0.2796,0.0978,0.3027,0.2043,0.2973
12.2807,0.0,17.5439,17.5439,17.5439,35.0877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC,1,-4.0872,12.8122,5.2015,0.0473,8.2632,25.2807,0.318,1659.3176,7.6702,127.4087,1.8135,53.9756,1.7719,4.0567,4.7274,55.2615,6.5374,2.2695,13.6526,75.5264,187.5441,155.7563,75.4632,0.2964,0.4753,2.1791,3.4657,0.0489,284.1178,1.3892,4.0086,0.1038,7.3245,0.5417,0.3626,0.2966,8.1108,2.0493,0.4462,3.5125,31.2097,49.0612,25.1141,21.2447,0.0325,0.091,0.3129,0.1935,0.1711,0.2206,0.2576,0.0649,0.1984,0.3665,0.1021,0.069,0.1838,0.3672,0.2415,0.3601,0.5317,0.3328,0.2114,0.3498,0.1494,0.2606
0.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,BCC,2,-5.0813,11.5256,5.5385,0.0591,5.25,32.25,0.1742,2441.75,7.625,137.555,1.74,72.1797,1.25,5.835,4.4325,59.05,7.5075,2.495,7.2,115.0,207.25,178.3,75.65,0.326,0.4075,0.75,9.25,0.0417,381.25,1.78,6.97,0.21,22.2482,0.375,1.36,0.1175,9.55,1.3875,0.435,1.55,57.5,96.75,43.35,43.45,0.072,0.1875,0.1579,0.2879,0.2799,0.1613,0.2755,0.1415,0.3093,0.3464,0.2418,0.0278,0.1745,0.2046,0.2116,0.2637,0.5849,0.4749,0.3046,0.5819,0.2412,0.5099
13.0,0.0,0.0,0.0,36.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,IM,3,-9.1652,10.8708,1.8806,0.0534,7.38,24.34,0.2975,1585.56,7.2567,130.2715,1.7234,52.3061,2.13,3.7443,4.4564,49.771,6.9167,2.0466,16.871,232.65,186.4,144.415,73.852,0.282,0.5134,1.3896,2.9484,0.0288,213.5952,1.1847,6.4744,0.1439,6.5843,0.2262,0.6362,0.2811,11.9473,1.5156,0.2953,4.9367,176.451,30.264,30.4038,11.6095,0.0277,0.077,0.2681,0.1849,0.1238,0.177,0.2521,0.086,0.1888,0.1579,0.1753,0.0819,0.2463,0.317,0.2099,0.2972,0.8297,0.2433,0.2352,0.2352,0.1161,0.1751
0.0,19.26782274,19.26782274,0.0,19.26782274,19.26782274,3.66088632,0.0,0.0,0.0,0.0,0.0,19.26782274,0.0,0.0,IM,3,-4.0121,14.1962,6.5151,0.0349,7.9268,26.5857,0.2997,1841.2794,8.1375,127.0924,1.7804,57.5406,1.7707,4.1283,4.6482,56.5703,7.8983,2.3422,13.0576,212.2736,223.4123,170.3757,81.1374,0.2901,0.497,1.2407,1.8332,0.0382,207.7524,0.7216,3.7185,0.1352,3.7929,0.3534,0.4765,0.329,7.8384,0.7379,0.3533,3.7099,127.8693,29.152,23.5557,16.9074,0.0502,0.1372,0.1814,0.1245,0.1606,0.1598,0.0985,0.0869,0.1373,0.2374,0.185,0.0802,0.1753,0.1073,0.1617,0.3919,0.7312,0.1616,0.1828,0.3027,0.2261,0.3511
0.0,16.66666667,16.66666667,0.0,16.66666667,16.66666667,0.0,0.0,0.0,0.0,0.0,16.66666667,16.66666667,0.0,0.0,IM,3,-7.2767,14.8968,3.8177,0.0329,7.5,25.5,0.2909,1864.8333,7.735,127.5533,1.7433,55.2245,1.8333,4.24,4.5917,56.9833,7.8183,2.2833,12.5167,199.8333,204.1667,165.1667,74.5833,0.3008,0.4683,1.5,1.5,0.0418,211.1111,0.8083,3.8311,0.13,2.5992,0.2778,0.4867,0.3222,7.0556,0.6317,0.3044,3.75,117.7778,28.8333,18.3667,19.6222,0.0542,0.145,0.2277,0.067,0.164,0.1297,0.1249,0.0781,0.0548,0.2033,0.166,0.0806,0.1603,0.0968,0.1496,0.3925,0.7341,0.2147,0.143,0.3241,0.2187,0.3742
0.0,21.0526,21.0526,0.0,21.0526,21.0526,0.0,0.0,0.0,15.7895,0.0,0.0,0.0,0.0,0.0,IM,1,-12.013,13.3319,2.2311,0.0522,7.7368,28.5789,0.282,2010.4194,8.2642,127.5567,1.7853,62.1361,1.6316,4.8184,4.7105,61.621,7.9721,2.4147,10.6474,130.1051,205.8418,176.7682,73.7736,0.3161,0.4295,1.5956,3.9224,0.064,304.9524,0.6141,4.8451,0.1112,9.7168,0.4654,0.8689,0.3069,4.1019,0.6424,0.2945,2.9296,60.1218,34.3048,12.7844,24.3701,0.0608,0.1565,0.2329,0.1941,0.2778,0.1793,0.0809,0.067,0.2184,0.2957,0.2485,0.0683,0.0725,0.0892,0.1377,0.2938,0.5375,0.2546,0.0819,0.3794,0.2253,0.438
15.3846,15.3846,15.3846,0.0,15.3846,15.3846,23.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM,1,-9.3856,14.7843,3.0932,0.056,6.9231,27.8461,0.2605,1963.6903,7.8254,130.1968,1.8662,60.9806,1.7692,4.7431,4.6661,58.6153,7.4085,2.3323,11.7461,141.2306,224.9998,182.569,82.2076,0.3065,0.4515,1.9172,6.5799,0.0666,496.8511,1.7725,6.79,0.1534,16.1397,0.5917,0.9586,0.2516,8.8403,1.7744,0.5498,4.774,78.0591,64.6153,43.8177,29.3917,0.0394,0.103,0.3228,0.3273,0.2958,0.3177,0.3072,0.1032,0.3585,0.3937,0.2501,0.0627,0.2005,0.3349,0.2783,0.5218,0.6133,0.3667,0.3182,0.4316,0.1822,0.3296
30.0,16.6666667,16.6666667,0.0,16.6666667,16.6666667,0.0,3.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM,3,-16.074,13.8767,1.3747,0.0678,6.5333,22.1333,0.2833,1592.4333,6.43,130.9427,1.7477,47.268,2.1333,4.047,4.62,51.9667,6.1463,1.9803,14.9367,99.5,174.7,145.97,62.8033,0.3158,0.4277,2.4667,5.4889,0.0494,395.66,2.3667,8.3502,0.1257,12.1716,0.52,0.3942,0.3033,11.4778,2.6749,0.573,5.198,68.0,66.7333,42.0067,30.2633,0.0478,0.1257,0.4159,0.2777,0.1861,0.2865,0.4037,0.0743,0.2869,0.3141,0.1121,0.0728,0.2455,0.479,0.3398,0.4143,0.8263,0.4336,0.3205,0.5153,0.1931,0.3795
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,62.5,0.0,0.0,12.5,IM,3,-1.5207,8.9256,13.011,0.0717,4.75,27.25,0.1864,2216.75,6.2737,138.4125,1.5775,60.8384,1.875,5.6525,4.2725,57.8375,6.81,2.005,8.1,124.375,116.125,148.375,41.6875,0.3743,0.2762,0.375,6.625,0.0388,133.3125,0.6356,8.5156,0.0712,15.6133,0.2188,0.6288,0.0556,7.0438,1.1125,0.25,0.775,27.1875,14.8438,17.0625,10.2656,0.0228,0.0547,0.0912,0.2811,0.2433,0.0975,0.1656,0.0622,0.2969,0.1764,0.1435,0.0198,0.1441,0.1969,0.1594,0.1417,0.2567,0.1707,0.1373,0.2893,0.0657,0.2141
6.850665352,13.7013307,13.7013307,13.7013307,13.7013307,13.7013307,0.0,24.64268112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM,3,-14.7924,15.7176,1.8638,0.0719,7.2198,24.6718,0.2836,1754.1138,7.0156,131.665,1.7476,53.2428,1.7945,4.2636,4.6212,52.9346,6.4302,2.0579,12.5977,99.1173,174.3677,150.1259,58.0123,0.3361,0.3761,2.4993,3.1001,0.0666,228.2052,1.8311,8.7154,0.1452,6.5892,0.4354,0.3765,0.2566,8.3747,1.8878,0.4073,3.1535,56.1112,55.2244,29.9775,28.8175,0.056,0.1457,0.3796,0.1633,0.257,0.1818,0.2989,0.087,0.1665,0.3054,0.1123,0.0653,0.1783,0.3287,0.2418,0.3366,0.7107,0.3532,0.2306,0.5483,0.1991,0.4667
5.882352941,0.0,0.0,0.0,0.0,0.0,0.0,23.52941176,0.0,23.52941176,23.52941176,23.52941176,0.0,0.0,0.0,BCC,3,-4.5572,12.7076,6.8217,0.0382,4.6471,38.1765,0.1523,2446.4118,8.6012,141.0453,1.57,89.2731,1.8235,6.2771,4.2941,59.5588,6.7218,2.0612,8.9882,90.5294,130.0,154.6176,44.8706,0.3706,0.2853,0.4983,17.7163,0.0537,539.8478,3.8018,4.4448,0.0471,44.8517,0.3875,1.4663,0.0224,10.2699,1.2822,0.3136,2.2893,28.2076,26.3529,27.081,13.7689,0.0258,0.0615,0.1266,0.5496,0.3846,0.2586,0.5553,0.032,0.6092,0.2812,0.245,0.0065,0.2017,0.2449,0.1876,0.4329,0.3829,0.2602,0.2129,0.3671,0.0734,0.2275
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,25.0,20.0,0.0,0.0,0.0,25.0,BCC,3,2.3029,11.4419,12.2215,0.0477,4.45,41.45,0.1237,2459.8,8.4585,148.2325,1.4945,96.5826,1.75,6.53,4.2365,55.225,5.9505,1.9065,7.635,95.5,115.25,144.43,35.985,0.3916,0.2345,0.495,12.62,0.0348,477.18,3.3494,6.0088,0.0823,33.747,0.375,1.148,0.0933,12.5775,1.4375,0.4281,1.539,29.05,28.75,33.033,15.8035,0.0218,0.0529,0.1118,0.4269,0.3393,0.2101,0.5177,0.0675,0.4797,0.2474,0.1955,0.0262,0.2306,0.2645,0.2349,0.2307,0.3604,0.3455,0.2339,0.5134,0.0718,0.2878
20.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC,1,-11.5489,13.381,1.9511,0.0577,7.2,23.6,0.2958,1684.0,7.104,128.378,1.778,50.4898,2.0,4.12,4.686,55.2,6.88,2.138,13.74,114.6,193.8,157.84,69.76,0.309,0.446,2.16,4.24,0.0443,300.4,1.7616,5.9168,0.1144,9.4031,0.4,0.3,0.3112,8.76,2.036,0.4984,3.968,69.52,49.52,31.416,27.968,0.0492,0.1288,0.3447,0.2315,0.163,0.2427,0.3227,0.0678,0.238,0.3162,0.093,0.0706,0.2057,0.3788,0.2899,0.4092,0.7131,0.3511,0.2642,0.4454,0.2054,0.3796
15.78947368,0.0,0.0,0.0,0.0,0.0,21.05263158,21.05263158,0.0,21.05263158,0.0,21.05263158,0.0,0.0,0.0,BCC,3,-10.7179,13.3319,2.7417,0.0386,4.6842,29.0,0.1763,2204.1579,6.6221,139.85,1.7132,64.8214,1.7368,5.7037,4.3663,56.4789,6.4026,2.1095,10.2316,109.9474,153.7895,162.2053,54.7158,0.3583,0.3174,0.8199,10.5263,0.0369,521.1302,2.3435,4.9853,0.1881,24.9319,0.6205,1.2558,0.0984,12.3634,1.9504,0.5228,4.2216,63.6233,73.7729,47.8271,29.046,0.0334,0.082,0.2084,0.3843,0.233,0.2986,0.3989,0.1359,0.4073,0.4111,0.2496,0.0279,0.2388,0.372,0.3006,0.5893,0.6668,0.6,0.3796,0.6731,0.1094,0.3072
0.0,20.0,20.0,10.0,20.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM,1,0.1127,14.5336,247.961,0.0278,8.3,28.1,0.3018,1922.8,8.481,126.15,1.862,61.043,1.6,4.473,4.755,60.23,7.841,2.412,11.2,139.6,225.7,182.25,81.02,0.3062,0.453,1.5,2.96,0.0525,297.52,0.7568,2.352,0.0936,7.482,0.48,0.4694,0.256,5.29,0.9966,0.376,3.22,67.6,41.98,24.31,22.992,0.0475,0.125,0.209,0.1739,0.2217,0.2046,0.1051,0.0719,0.1981,0.3062,0.1849,0.0567,0.1034,0.1817,0.1662,0.3347,0.5464,0.2337,0.1818,0.3601,0.2071,0.3736
13.04347826,0.0,0.0,0.0,0.0,0.0,21.73913043,21.73913043,0.0,0.0,21.73913043,21.73913043,0.0,0.0,0.0,BCC,3,-9.5881,13.2417,3.2634,0.0391,4.7391,36.4783,0.1628,2363.0,8.5109,139.7635,1.6948,85.1953,1.913,5.8943,4.3583,58.2,6.8161,2.0952,9.6217,117.3913,174.1304,168.887,61.6348,0.348,0.3417,0.775,18.2798,0.0497,634.7826,4.2992,5.0726,0.2023,46.3085,0.397,1.3614,0.1051,12.4783,2.0008,0.4628,3.8979,59.225,72.4953,51.5331,30.2306,0.0287,0.0711,0.1989,0.5838,0.3554,0.317,0.5791,0.1473,0.6449,0.3049,0.2614,0.0299,0.2389,0.3481,0.2846,0.5925,0.604,0.509,0.3652,0.5931,0.1046,0.2654
0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,IM,3,-7.7589,13.381,3.9945,0.0579,5.6,30.8,0.1944,2316.2,7.462,136.206,1.752,68.702,1.6,5.766,4.406,60.34,7.584,2.278,8.54,132.2,177.8,175.54,63.9,0.348,0.344,1.12,8.56,0.0546,405.44,1.7216,6.6768,0.1944,20.5808,0.48,1.1432,0.1152,7.112,1.1712,0.3616,1.968,49.76,73.76,35.784,30.96,0.0432,0.1088,0.2422,0.287,0.3367,0.187,0.2657,0.129,0.3083,0.3062,0.2141,0.0277,0.1492,0.1864,0.1942,0.2712,0.4526,0.4743,0.2789,0.5533,0.1351,0.3423
