Pm,ΔH,ΔS,Ω,ρ,e/a,EWF,α,HD,B,G,ad-e/n,ad-r,ad-α,ad-HD,ad-G,δ-VEC,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SLHF,δ-α,δ-HD,δ-G,δ-υ,δ-G/B,Phase
1,2.172,10.9819,12.385,8.8087,1.875,4.2012,7.2625,106.25,140.65,35.5875,0.0349,7.5047,1.4781,32.8125,18.1344,0.1107,0.3624,0.2203,0.5339,0.0712,0.1764,0.1868,0.0287,0.241,0.24,0.2426,0.3456,0.5746,0.0809,0.3258,IM
1,-10.56,16.1784,2.5191,6.7886,1.8571,4.48,14.8571,159.7143,140.3571,59.1714,0.0512,7.8159,4.9796,123.8776,27.5673,0.3773,0.2191,0.2323,0.3179,0.0846,0.344,0.1589,0.0601,0.2087,0.2584,0.389,0.9825,0.5186,0.2215,0.4436,IM
2,-15.0707,14.8968,1.9128,7.24,1.8333,4.63,10.6,126.5003,163.817,65.4668,0.0582,6.309,2.3667,54.8334,27.6001,0.3086,0.2296,0.0961,0.2149,0.0795,0.2033,0.0886,0.0705,0.1213,0.1836,0.2548,0.5234,0.4677,0.2107,0.4595,IM
1,0.8494,11.4487,30.4036,8.2803,1.95,4.1292,7.5875,118.825,121.975,27.1125,0.0467,6.7127,1.8288,46.9425,6.8006,0.0732,0.4485,0.1549,0.4871,0.0809,0.1118,0.1568,0.0436,0.1628,0.1665,0.2565,0.4104,0.4038,0.0471,0.2103,BCC
2,-17.8718,14.8968,1.5518,7.35,1.8333,4.6217,12.6667,108.8336,160.367,64.9835,0.0659,8.1579,4.2333,61.778,28.0834,0.3526,0.2935,0.2927,0.2944,0.0735,0.3748,0.2838,0.0724,0.1974,0.2642,0.4473,0.6956,0.4664,0.2025,0.4192,IM
1,-12.3068,14.2218,1.9682,7.0662,2,4.6712,13.5308,115.6154,157.8115,68.9962,0.0461,5.8799,3.9763,68.0178,27.7737,0.3472,0.1695,0.2419,0.3193,0.0686,0.3101,0.1056,0.0713,0.2021,0.2844,0.4147,0.6945,0.4451,0.2023,0.3803,BCC
2,-6.9075,12.8252,3.3537,7.8209,1.8372,4.7521,12.1349,130.8139,170.6254,76.3627,0.0368,2.3999,2.9162,65.7544,23.3077,0.248,0.1425,0.1637,0.1997,0.0596,0.2859,0.0624,0.0653,0.1347,0.2097,0.353,0.5866,0.373,0.2213,0.3917,FCC
2,-11.9513,16.0245,3.0984,8.59,1.6875,4.4325,9.7812,131.25,179.5938,78.95,0.0682,7.2056,4.3164,76.4062,40.5438,0.2768,0.4013,0.3413,0.5428,0.1547,0.404,0.3287,0.0269,0.2632,0.3182,0.593,0.6945,0.5854,0.1932,0.3828,IM
3,-12.5614,13.3448,1.751,6.8943,2.0476,4.6667,14.2095,109.8571,154.1,67.8286,0.0457,6.7084,4.4717,69.8231,28.8435,0.3689,0.1676,0.2607,0.3519,0.0695,0.3189,0.0991,0.0717,0.2213,0.3092,0.4134,0.7512,0.4648,0.2004,0.3753,BCC
4,-9.6214,12.5685,2.5097,8.0467,1.9524,4.731,11.481,155.9524,181.119,66.6048,0.0521,3.1728,2.1224,53.2653,20.4331,0.2372,0.2092,0.1462,0.1494,0.0709,0.1091,0.1315,0.0722,0.0458,0.1273,0.221,0.4318,0.3369,0.1342,0.307,IM
