iter	MultiClass
0	1.335150736
1	1.299158829
2	1.259382572
3	1.221783157
4	1.192558277
5	1.162350003
6	1.131488648
7	1.113330595
8	1.091719823
9	1.071240056
10	1.055512973
11	1.041152084
12	1.021874209
13	1.007203051
14	0.9940509847
15	0.9788971458
16	0.968122272
17	0.9558316107
18	0.9391231883
19	0.9248230374
20	0.9109902699
21	0.8976213356
22	0.8872765394
23	0.8765600378
24	0.8640361581
25	0.8525935277
26	0.8455594654
27	0.8353967528
28	0.8260439447
29	0.8148293755
30	0.8067615853
31	0.7985867384
32	0.791167604
33	0.7807138097
34	0.7759764923
35	0.7699322285
36	0.7639118891
37	0.7557097102
38	0.7464318755
39	0.7411806913
40	0.7348835206
41	0.7290253249
42	0.7226334949
43	0.715422966
44	0.7070113821
45	0.7035369536
46	0.6983047065
47	0.6937979161
48	0.688891625
49	0.6830446907
50	0.6771697699
51	0.6738209823
52	0.6703423751
53	0.6658691193
54	0.6617343556
55	0.6580114833
56	0.6521629401
57	0.645288203
58	0.640273098
59	0.6359649255
60	0.6324361512
61	0.6277292655
62	0.621919316
63	0.6155474316
64	0.6125359168
65	0.6090141038
66	0.6038979341
67	0.5988638459
68	0.5954948174
69	0.590895889
70	0.587136771
71	0.5820643289
72	0.579210608
73	0.5744921245
74	0.5696371851
75	0.5644541695
76	0.5616461171
77	0.5593796928
78	0.5551709168
79	0.5507201596
80	0.5472493481
81	0.5441676645
82	0.5398513715
83	0.5369500554
84	0.5334233758
85	0.5290003219
86	0.5252925085
87	0.5221326698
88	0.5190956077
89	0.517466259
90	0.5142739152
91	0.511308286
92	0.5072571569
93	0.5047061928
94	0.5010433092
95	0.4968036882
96	0.4944089584
97	0.4926644732
98	0.4905016013
99	0.4872289384
100	0.4841064642
101	0.4824938364
102	0.4796298627
103	0.4766610655
104	0.4755498837
105	0.4748644149
106	0.4730532475
107	0.472043111
108	0.4706017953
109	0.4661999322
110	0.4636601965
111	0.4625823665
112	0.4609230855
113	0.4568722874
114	0.4550282621
115	0.4522274118
116	0.4509099664
117	0.4481039707
118	0.4458559224
119	0.4440753341
120	0.4426131516
121	0.4411351169
122	0.4403667201
123	0.4390053592
124	0.436818105
125	0.4332242646
126	0.4301544967
127	0.4274566877
128	0.4244922541
129	0.4227953264
130	0.4210860978
131	0.4201321348
132	0.4188173922
133	0.4168589985
134	0.4139964926
135	0.4111012361
136	0.4107068934
137	0.4080756075
138	0.4057384205
139	0.4030022797
140	0.4002838998
141	0.3969406536
142	0.393753426
143	0.3927569143
144	0.3907622417
145	0.3877263912
146	0.3860000333
147	0.3831599903
148	0.380313924
149	0.3786024999
150	0.3779552711
151	0.377104735
152	0.3752036784
153	0.3733650131
154	0.3722640874
155	0.3704329939
156	0.3696749124
157	0.3691012463
158	0.3668760079
159	0.365550245
160	0.3628899212
161	0.3603456458
162	0.3594463301
163	0.3580814098
164	0.3569161256
165	0.3557311866
166	0.3526472867
167	0.3518079898
168	0.350554027
169	0.3489570672
170	0.3459273079
171	0.3436567402
172	0.3430198669
173	0.3427032962
174	0.3424455675
175	0.3405044743
176	0.3390892319
177	0.3379216353
178	0.3362375235
179	0.3349207953
180	0.3327859625
181	0.3320525283
182	0.3296736028
183	0.3278182857
184	0.3262026573
185	0.3242899782
186	0.3220704856
187	0.3209250637
188	0.3195057954
189	0.3189902898
190	0.3179305196
191	0.3170457515
192	0.3160907268
193	0.3156477565
194	0.314761527
195	0.3139295373
196	0.3136996433
197	0.3127295428
198	0.3108311422
199	0.3105903593
200	0.3097596932
201	0.3076362664
202	0.3062701294
203	0.3057796542
204	0.3048963078
205	0.3032774719
206	0.3027591578
207	0.3019352124
208	0.300753447
209	0.2998624874
210	0.2979889226
211	0.2966745712
212	0.2955759571
213	0.2942289948
214	0.2928553337
215	0.2916479055
216	0.2905824039
217	0.2896479813
218	0.2887241283
219	0.2877769688
220	0.2871173732
221	0.284884449
222	0.2837341637
223	0.2817648248
224	0.2807507572
225	0.2797940657
226	0.2785332164
227	0.2770345213
228	0.2760518508
229	0.2744495785
230	0.2724152507
231	0.270622039
232	0.2692180512
233	0.2687096321
234	0.2671995109
235	0.2663720175
236	0.2657071892
237	0.2646133119
238	0.2637792411
239	0.2621641332
240	0.2618284651
241	0.2614340773
242	0.2610186224
243	0.2607476455
244	0.2598580407
245	0.2589249847
246	0.2587307108
247	0.2574895725
248	0.2558177814
249	0.2546579176
250	0.2539323687
251	0.2537063856
252	0.2529820856
253	0.2516193468
254	0.2505052891
255	0.2496435283
256	0.2491273208
257	0.248136183
258	0.2465368268
259	0.2454335767
260	0.2452160826
261	0.2440803802
262	0.2428676353
263	0.2420709003
264	0.2418174998
265	0.2407972406
266	0.2402888933
267	0.23895992
268	0.2382957441
269	0.2375163095
270	0.2369043798
271	0.2361437007
272	0.2356468449
273	0.2349388231
