iter	Passed	Remaining
0	4	2457
1	9	2509
2	13	2419
3	17	2432
4	21	2380
5	26	2370
6	30	2331
7	33	2267
8	37	2279
9	41	2239
10	44	2204
11	48	2183
12	53	2209
13	57	2192
14	61	2180
15	64	2152
16	68	2142
17	71	2123
18	75	2101
19	78	2091
20	82	2082
21	86	2081
22	90	2081
23	94	2073
24	98	2067
25	102	2067
26	106	2061
27	110	2060
28	114	2050
29	117	2034
30	121	2033
31	124	2017
32	128	2017
33	132	2015
34	136	2011
35	140	2002
36	143	1990
37	147	1982
38	151	1980
39	154	1975
40	159	1979
41	163	1972
42	166	1964
43	170	1961
44	174	1953
45	177	1944
46	181	1939
47	185	1939
48	189	1936
49	193	1936
50	197	1935
51	201	1934
52	206	1934
53	210	1929
54	213	1922
55	217	1915
56	221	1911
57	225	1913
58	230	1914
59	234	1911
60	237	1906
61	241	1903
62	246	1902
63	250	1898
64	253	1889
65	257	1886
66	260	1878
67	264	1872
68	268	1870
69	272	1866
70	276	1865
71	280	1863
72	284	1862
73	289	1860
74	293	1856
75	296	1850
76	300	1848
77	304	1843
78	308	1839
79	312	1837
80	318	1841
81	322	1842
82	326	1839
83	330	1833
84	334	1830
85	338	1824
86	341	1819
87	345	1816
88	350	1813
89	354	1810
90	357	1804
91	361	1799
92	365	1795
93	368	1789
94	373	1788
95	378	1788
96	382	1786
97	386	1782
98	390	1777
99	394	1774
100	398	1771
101	401	1763
102	405	1759
103	408	1753
104	412	1748
105	416	1744
106	420	1740
107	424	1738
108	428	1734
109	432	1731
110	436	1728
111	440	1723
112	445	1721
113	448	1715
114	452	1709
115	455	1704
116	458	1698
117	463	1696
118	467	1691
119	471	1687
120	474	1683
121	478	1678
122	481	1672
123	486	1670
124	489	1665
125	494	1663
126	498	1660
127	502	1655
128	505	1649
129	509	1647
130	514	1644
131	518	1641
132	523	1640
133	526	1635
134	531	1632
135	535	1631
136	539	1627
137	543	1623
138	547	1620
139	551	1615
140	556	1613
141	560	1610
142	564	1606
143	568	1603
144	572	1599
145	576	1594
146	580	1590
147	583	1586
148	587	1582
149	591	1578
150	596	1575
151	600	1572
152	604	1567
153	607	1563
154	611	1558
155	615	1554
156	619	1550
157	623	1545
158	626	1541
159	630	1535
160	634	1534
161	639	1530
162	642	1525
163	645	1520
164	648	1514
165	652	1509
166	655	1503
167	659	1498
168	662	1493
169	665	1487
170	668	1482
171	671	1476
172	675	1471
173	678	1466
174	682	1462
175	686	1459
176	690	1454
177	694	1450
178	697	1445
179	700	1440
180	704	1435
181	707	1431
182	711	1427
183	716	1424
184	719	1419
185	723	1415
186	727	1411
187	730	1407
188	734	1403
189	738	1399
190	742	1396
191	746	1391
192	750	1388
193	755	1385
194	759	1382
195	763	1379
196	767	1375
197	770	1370
198	775	1367
199	779	1363
200	782	1358
201	786	1354
202	790	1351
203	794	1347
