iter	MultiClass
0	1.287727834
1	1.197908264
2	1.120092285
3	1.053113141
4	1.005245804
5	0.9533939686
6	0.9116677752
7	0.8771536563
8	0.8421045855
9	0.817800777
10	0.7915871358
11	0.7661269852
12	0.7421600793
13	0.7191479061
14	0.6978850649
15	0.6809639409
16	0.6638270487
17	0.6487451811
18	0.6333217378
19	0.6218679098
20	0.612083445
21	0.6009612289
22	0.5897595812
23	0.5807688143
24	0.5718882831
25	0.5628032502
26	0.554921629
27	0.5455119617
28	0.5363072079
29	0.5287016302
30	0.5225065174
31	0.5141360105
32	0.5087093471
33	0.5024060205
34	0.4951017803
35	0.4883046582
36	0.4822856631
37	0.4781818526
38	0.4723133481
39	0.4684321822
40	0.4637783345
41	0.4578019633
42	0.4540133594
43	0.4507197225
44	0.4473606861
45	0.4441119505
46	0.4407832732
47	0.4360695416
48	0.4325211165
49	0.429392528
50	0.4247594097
51	0.4221284514
52	0.4197955683
53	0.4173361095
54	0.4142371689
55	0.4116033053
56	0.4078167802
57	0.4050914179
58	0.4020171087
59	0.3992706055
60	0.3958357328
61	0.3930615943
62	0.3900869188
63	0.3871670038
64	0.38499507
65	0.3835156967
66	0.381637715
67	0.379777643
68	0.3774090914
69	0.3751866983
70	0.3731571335
71	0.3715595878
72	0.3698498836
73	0.3669880225
74	0.3647727356
75	0.3626116271
76	0.3605139326
77	0.3573361966
78	0.3556339816
79	0.3538509223
80	0.3525788838
81	0.3505891452
82	0.3485318582
83	0.3465083444
84	0.3444660885
85	0.3428602094
86	0.3407994312
87	0.3387535995
88	0.3375190568
89	0.335499106
90	0.3339390367
91	0.3329793255
92	0.3313103407
93	0.3305818332
94	0.3289610511
95	0.3273010532
96	0.3254517527
97	0.3244479848
98	0.3230755726
99	0.3221225441
100	0.3201890074
101	0.3185581019
102	0.3183511312
103	0.3174789253
104	0.3162441296
105	0.3146341465
106	0.3136770913
107	0.3125576738
108	0.3123810138
109	0.3106018048
110	0.3092586117
111	0.3082511492
112	0.3080220503
113	0.3076400827
114	0.3055395176
115	0.3044925789
116	0.3029407815
117	0.3022874082
118	0.3012783679
119	0.3006434181
120	0.2995929693
121	0.2995229369
122	0.2994404272
123	0.2987293077
124	0.2980015218
125	0.2965256162
126	0.2958141001
127	0.2944840335
128	0.2943864734
129	0.2935013638
130	0.293323973
131	0.2913873371
132	0.2902511467
133	0.2894199302
134	0.2893462641
135	0.2892592034
136	0.2891972164
137	0.2885876178
138	0.2878918386
139	0.2875029356
140	0.2868779786
141	0.2853404802
142	0.2851816167
143	0.2839648265
144	0.282536557
145	0.2817029637
146	0.2816304216
147	0.2809819146
148	0.2808816365
149	0.2808081493
150	0.2798496688
151	0.2797862809
152	0.278798852
153	0.2787365124
154	0.278528393
155	0.2776426136
156	0.2766893451
157	0.27656411
158	0.2760322099
159	0.2759769969
160	0.2752892927
161	0.274726098
162	0.274585264
163	0.2737289807
164	0.2728617496
165	0.2722678021
166	0.272196203
167	0.2720666264
168	0.2710476279
169	0.2702065692
170	0.2694935267
171	0.2684003097
172	0.2676671651
173	0.2666334799
174	0.2665766596
175	0.2665231826
176	0.2654892322
177	0.265436718
178	0.2649164815
179	0.2637239284
180	0.2629815818
181	0.2627863292
182	0.2627419655
183	0.2614307649
184	0.261314879
185	0.2605878579
186	0.2605403484
187	0.2604554515
188	0.2595317978
189	0.2594214247
190	0.258922069
191	0.2588754274
192	0.2582304101
193	0.2581855611
194	0.2572095292
195	0.2556011998
196	0.2551576596
197	0.2545750142
198	0.2531650746
199	0.2525565128
200	0.252501113
201	0.2519991296
202	0.2519154927
203	0.2512165525
204	0.2509630469
205	0.2498538951
206	0.2497911543
207	0.2497552349
208	0.2491589733
209	0.2476770284
210	0.2474524843
211	0.247407662
212	0.2473685648
213	0.2468929142
214	0.2461028025
215	0.2456463003
216	0.2451314969
217	0.2441902617
218	0.2429503802
219	0.2428328159
220	0.2418579982
221	0.2414564981
222	0.2407512279
223	0.2406723109
224	0.2406257419
225	0.2405862472
226	0.240451377
227	0.2396758212
228	0.2390610422
229	0.2385818899
230	0.2384771715
231	0.2379556371
232	0.2373048238
233	0.2366768904
234	0.2360396522
235	0.235941536
236	0.2357610418
237	0.2349200938
238	0.2346871095
239	0.2345722578
240	0.2335707095
241	0.2328732396
242	0.2327922887
243	0.2327511526
244	0.2318720489
245	0.2312435871
246	0.2312075168
247	0.2301269614
248	0.2297932292
249	0.2292288831
250	0.2285705755
251	0.2285424368
252	0.2282113163
253	0.2275694131
254	0.2268407227
255	0.2261552398
256	0.2253388646
257	0.2246650015
258	0.224407132
259	0.2238012492
260	0.2236875944
261	0.2231094015
262	0.2222802498
263	0.2216855821
264	0.2208613614
265	0.2208161553
266	0.2199102986
267	0.2189280577
268	0.2185319248
269	0.2181064688
270	0.2176047899
271	0.2171130358
272	0.2163497915
273	0.2159400791
274	0.2159031705
275	0.2149605674
276	0.2148414554
277	0.2144909244
278	0.2144480088
279	0.2139435128
280	0.2133154778
281	0.2132843705
282	0.2132138291
