iter	Passed	Remaining
0	15	10163
1	29	9550
2	45	9853
3	60	9702
4	73	9434
5	87	9442
6	100	9262
7	115	9300
8	129	9243
9	143	9202
10	158	9215
11	173	9244
12	191	9362
13	208	9471
14	220	9339
15	235	9313
16	245	9133
17	257	9057
18	270	8995
19	285	9005
20	298	8937
21	311	8881
22	324	8844
23	338	8823
24	350	8774
25	363	8714
26	376	8693
27	390	8671
28	403	8634
29	415	8596
30	430	8600
31	444	8584
32	456	8532
33	468	8494
34	481	8466
35	495	8447
36	505	8379
37	518	8354
38	531	8320
39	544	8297
40	555	8256
41	568	8225
42	582	8225
43	593	8174
44	605	8142
45	618	8122
46	635	8155
47	648	8138
48	661	8114
49	674	8092
50	687	8071
51	700	8055
52	718	8093
53	734	8103
54	744	8057
55	761	8079
56	777	8088
57	792	8089
58	803	8053
59	817	8038
60	830	8017
61	843	7998
62	858	7998
63	875	8014
64	889	8005
65	903	7996
66	917	7983
67	931	7971
68	950	8000
69	964	7989
70	978	7977
71	991	7963
72	1008	7970
73	1021	7951
74	1036	7943
75	1054	7964
76	1070	7967
77	1092	8011
78	1108	8011
79	1122	8000
80	1138	7995
81	1150	7968
82	1165	7962
83	1178	7939
84	1196	7956
85	1209	7930
86	1223	7918
87	1236	7898
88	1249	7874
89	1263	7863
90	1277	7844
91	1290	7827
92	1303	7809
93	1316	7788
94	1329	7765
95	1340	7737
96	1352	7709
97	1365	7691
98	1380	7686
99	1394	7670
100	1406	7645
101	1418	7620
102	1432	7604
103	1445	7588
104	1457	7563
105	1467	7530
106	1478	7505
107	1491	7485
108	1503	7461
109	1517	7447
110	1527	7418
111	1539	7395
112	1552	7376
113	1563	7352
114	1576	7336
115	1591	7327
116	1606	7318
117	1619	7299
118	1632	7283
119	1645	7269
120	1660	7259
121	1674	7245
122	1686	7226
123	1697	7199
124	1709	7180
125	1721	7160
126	1734	7144
127	1748	7130
128	1762	7118
129	1775	7101
130	1784	7069
131	1796	7050
132	1810	7039
133	1826	7033
134	1840	7020
135	1854	7009
136	1868	6996
137	1887	7002
138	1901	6989
139	1915	6978
140	1931	6972
141	1945	6961
142	1959	6946
143	1973	6933
144	1986	6918
145	2004	6920
146	2017	6904
147	2032	6893
148	2048	6888
149	2063	6879
150	2081	6878
151	2096	6869
152	2112	6861
153	2128	6855
154	2144	6849
155	2156	6830
156	2173	6825
157	2187	6811
158	2206	6812
159	2221	6802
160	2237	6794
161	2251	6781
162	2262	6760
163	2277	6750
164	2293	6740
165	2305	6721
166	2319	6708
167	2333	6694
168	2346	6678
169	2363	6674
170	2375	6653
171	2390	6642
172	2401	6621
173	2418	6616
174	2432	6602
175	2449	6595
176	2465	6588
177	2478	6573
178	2494	6562
179	2505	6541
180	2520	6530
181	2533	6513
182	2547	6500
183	2562	6491
184	2578	6481
185	2591	6464
186	2607	6455
187	2619	6436
188	2633	6424
189	2649	6414
190	2662	6397
191	2675	6382
192	2688	6365
193	2701	6349
194	2723	6353
195	2737	6340
196	2754	6333
197	2768	6320
198	2783	6308
199	2798	6297
200	2816	6291
201	2832	6282
202	2848	6272
203	2867	6270
204	2880	6251
205	2892	6233
206	2906	6221
207	2915	6194
208	2929	6181
209	2944	6169
210	2962	6163
211	2975	6147
212	2989	6132
213	3004	6120
214	3022	6114
215	3036	6100
216	3049	6085
217	3067	6078
218	3081	6064
219	3097	6053
220	3112	6041
221	3126	6027
222	3141	6015
223	3154	5999
224	3167	5982
