Pm.1,ρ,α,ad-e/n,δ-e/n,δ-Ec,,Pm.2,ΔS,ad-e/n.1,ad-HD,ad-G,δ-χ,δ-EWF,δ-HD,δ-G,,Pm.3,e/a,EWF,ad-e/n.2,δ-e/n.1,δ-ρ,δ-Ec.1,δ-G.1,δ-υ,,Pm.4,ΔS.1,EWF.1,ad-e/n.3,δ-VEC,δ-EWF.1,δ-G.2,δ-G/B,,Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1,
1,7.438,12.89,0.0487,0.1681,0.0847,BCC+FCC,1,11.0999,0.0487,85.54,32.47,0.07,0.068,0.7091,0.4952,BCC+FCC,1,1.85,4.772,0.0487,0.1681,0.2854,0.0847,0.4952,0.2499,BCC+FCC,1,11.0999,4.772,0.0487,0.3238,0.068,0.4952,0.4881,BCC+FCC,1,1.7389,1.85,4.772,69.51,0.0487,32.47,0.1681,0.2854,BCC+FCC
1,7.554,15.205,0.0412,0.1539,0.0972,BCC+FCC,1,10.0236,0.0412,97.24,24.214,0.0656,0.0681,0.7703,0.4555,BCC+FCC,1,2.15,4.8835,0.0412,0.1539,0.3249,0.0972,0.4555,0.1571,BCC+FCC,1,10.0236,4.8835,0.0412,0.3307,0.0681,0.4555,0.401,BCC+FCC,1,1.2823,2.15,4.8835,56.845,0.0412,24.214,0.1539,0.3249,BCC+FCC
1,7.086,15.6,0.0392,0.1569,0.1042,BCC+FCC,1,11.4419,0.0392,75.985,23.8835,0.0656,0.0764,0.77,0.4002,BCC+FCC,1,2.25,4.74,0.0392,0.1569,0.362,0.1042,0.4002,0.1267,BCC+FCC,1,11.4419,4.74,0.0392,0.3615,0.0764,0.4002,0.2677,BCC+FCC,1,1.3878,2.25,4.74,60.715,0.0392,23.8835,0.1569,0.362,BCC+FCC
1,7.285,15.95,0.0434,0.1609,0.1066,BCC+FCC,1,10.1769,0.0434,87.595,23.6125,0.068,0.0743,0.851,0.4243,BCC+FCC,1,2.25,4.855,0.0434,0.1609,0.3646,0.1066,0.4243,0.128,BCC+FCC,1,10.1769,4.855,0.0434,0.3632,0.0743,0.4243,0.304,BCC+FCC,1,1.109,2.25,4.855,56.775,0.0434,23.6125,0.1609,0.3646,BCC+FCC
1,7.429,12.04,0.0465,0.1746,0.1134,BCC+FCC,1,10.3061,0.0465,53.48,15.888,0.0628,0.0656,0.3555,0.3283,BCC+FCC,1,2.05,4.604,0.0465,0.1746,0.2081,0.1134,0.3283,0.1317,BCC+FCC,1,10.3061,4.604,0.0465,0.2657,0.0656,0.3283,0.3531,BCC+FCC,1,1.7312,2.05,4.604,55.02,0.0465,15.888,0.1746,0.2081,BCC+FCC
1,7.817,15.325,0.0484,0.1696,0.1193,BCC+FCC,1,10.3824,0.0484,15.25,23.795,0.0653,0.0681,0.3704,0.3968,BCC+FCC,1,1.7,4.7795,0.0484,0.1696,0.2828,0.1193,0.3968,0.1254,BCC+FCC,1,10.3824,4.7795,0.0484,0.3196,0.0681,0.3968,0.2561,BCC+FCC,1,3.6062,1.7,4.7795,65.665,0.0484,23.795,0.1696,0.2828,BCC+FCC
3,8.2085,11.25,0.0344,0.1303,0.0308,FCC,3,11.4419,0.0344,59.11,16.926,0.0537,0.0625,0.5322,0.3012,FCC,3,1.75,4.795,0.0344,0.1303,0.0873,0.0308,0.3012,0.2194,FCC,3,11.4419,4.795,0.0344,0.1831,0.0625,0.3012,0.365,FCC,3,5.5942,1.75,4.795,82.04,0.0344,16.926,0.1303,0.0873,FCC
1,8.3525,11.55,0.0354,0.1303,0.0313,FCC,1,10.8536,0.0354,76.105,24.8325,0.0547,0.0571,0.5649,0.3803,FCC,1,1.75,4.87,0.0354,0.1303,0.0877,0.0313,0.3803,0.2399,FCC,1,10.8536,4.87,0.0354,0.1813,0.0571,0.3803,0.4609,FCC,1,5.0616,1.75,4.87,75.875,0.0354,24.8325,0.1303,0.0877,FCC
4,8.545,13.53,0.0253,0.0813,0.0846,FCC,4,11.0999,0.0253,60.95,17.2635,0.0185,0.0585,0.5809,0.2641,FCC,4,1.8,4.8,0.0253,0.0813,0.0572,0.0846,0.2641,0.1241,FCC,4,11.0999,4.8,0.0253,0.1232,0.0585,0.2641,0.2507,FCC,4,4.2749,1.8,4.8,69.005,0.0253,17.2635,0.0813,0.0572,FCC
2,8.6975,12.665,0.028,0.1422,0.1188,FCC,2,10.1769,0.028,69.17,18.936,0.0363,0.0547,0.5298,0.3126,FCC,2,1.95,4.915,0.028,0.1422,0.0639,0.1188,0.3126,0.1485,FCC,2,10.1769,4.915,0.028,0.1165,0.0547,0.3126,0.3181,FCC,2,10.271,1.95,4.915,71.96,0.028,18.936,0.1422,0.0639,FCC
