Pm,ρ,α,ad-e/n,δ-e/n,δ-Ec,Phase
3,7.2059,11.4135,0.0344,0.1517,0.1896,BCC+FCC
1,7.6702,13.6526,0.0489,0.1711,0.1021,BCC+FCC
2,7.625,7.2,0.0417,0.2799,0.2418,BCC
3,7.2567,16.871,0.0288,0.1238,0.1753,IM
3,8.1375,13.0576,0.0382,0.1606,0.185,IM
3,7.735,12.5167,0.0418,0.164,0.166,IM
1,8.2642,10.6474,0.064,0.2778,0.2485,IM
1,7.8254,11.7461,0.0666,0.2958,0.2501,IM
3,6.43,14.9367,0.0494,0.1861,0.1121,IM
3,6.2737,8.1,0.0388,0.2433,0.1435,IM
3,7.0156,12.5977,0.0666,0.257,0.1123,IM
3,8.6012,8.9882,0.0537,0.3846,0.245,BCC
3,8.4585,7.635,0.0348,0.3393,0.1955,BCC
1,7.104,13.74,0.0443,0.163,0.093,BCC
3,6.6221,10.2316,0.0369,0.233,0.2496,BCC
1,8.481,11.2,0.0525,0.2217,0.1849,IM
3,8.5109,9.6217,0.0497,0.3554,0.2614,BCC
3,7.462,8.54,0.0546,0.3367,0.2141,IM
3,7.1684,14.6351,0.0315,0.1312,0.1504,IM
3,7.2111,17.103,0.03,0.1276,0.1771,IM
1,6.1029,14.6428,0.0536,0.2179,0.1231,IM
3,7.1133,13.585,0.0558,0.225,0.17,IM
1,10.446,9.92,0.0803,0.3729,0.3529,IM
3,7.3575,7.725,0.0336,0.2205,0.1796,BCC
1,8.5599,10.1928,0.0622,0.2613,0.2033,IM
3,9.9391,7.0273,0.0374,0.4032,0.1621,BCC
4,7.3902,14.8853,0.032,0.132,0.1544,FCC
3,6.8042,7.5889,0.0347,0.2737,0.1713,BCC
1,7.12,12.6714,0.0578,0.3077,0.2871,BCC
3,7.5098,13.0689,0.0535,0.2062,0.106,BCC+FCC
3,9.1256,7.3325,0.0333,0.3413,0.1832,IM
1,7.4081,10.375,0.0572,0.2253,0.0595,BCC+FCC
4,8.3529,7.5653,0.0387,0.3877,0.1794,BCC
1,7.5108,13.7847,0.0447,0.1679,0.0995,BCC+FCC
3,8.3821,11.6909,0.0636,0.2696,0.2625,IM
3,9.5019,8.1472,0.043,0.463,0.2061,BCC
1,7.7292,12.012,0.0648,0.2822,0.2432,IM
1,7.1932,17.3607,0.0356,0.1401,0.1729,FCC
1,8.2467,10.8333,0.0557,0.2425,0.2217,IM
3,9.9252,7.119,0.0373,0.4129,0.166,BCC
3,7.7375,12.76,0.0481,0.1838,0.0731,IM
3,7.7257,7.2857,0.0407,0.3924,0.1505,BCC
2,8.62,6.94,0.0341,0.3501,0.1396,BCC
1,3.4593,21.9,0.0193,0.1309,0.0906,BCC
3,7.3602,7.2132,0.0357,0.2688,0.1566,IM
1,6.566,14.54,0.0607,0.2329,0.1125,BCC+FCC
3,6.7875,13.4327,0.0457,0.1717,0.0958,IM
