iter	MultiClass
0	1.32082807
1	1.261090661
2	1.20533367
3	1.152034427
4	1.104852088
5	1.05978507
6	1.020578121
7	0.9869289794
8	0.9543775406
9	0.9289783104
10	0.9058174809
11	0.8821514651
12	0.859154127
13	0.8358905456
14	0.8148047492
15	0.7990417406
16	0.7786081011
17	0.7597006238
18	0.7443363321
19	0.7328989841
20	0.7191419463
21	0.7076352619
22	0.6934618246
23	0.6816001021
24	0.6681409357
25	0.657682351
26	0.6476376969
27	0.6381977401
28	0.6283972364
29	0.6189533797
30	0.609952884
31	0.6014987687
32	0.5947412863
33	0.5874413089
34	0.5823836395
35	0.5776329247
36	0.5714708999
37	0.5660810638
38	0.5610078322
39	0.5550364
40	0.5513063754
41	0.5446281716
42	0.53946314
43	0.534191807
44	0.5291555286
45	0.5249420794
46	0.5204956662
47	0.5149836658
48	0.5098283272
49	0.5046329758
50	0.5012195671
51	0.4981246847
52	0.4942794042
53	0.4905706999
54	0.4874099332
55	0.4845466941
56	0.4809265629
57	0.477078921
58	0.4751018976
59	0.4721139644
60	0.4687004854
61	0.4655830334
62	0.4619786035
63	0.4594521035
64	0.4560704537
65	0.4526274856
66	0.4497423106
67	0.4469758606
68	0.4443097072
69	0.4417799491
70	0.4385434714
71	0.4347474864
72	0.4326152535
73	0.4296129246
74	0.427548543
75	0.4244711227
76	0.4210732256
77	0.4185568472
78	0.4158782306
79	0.4123183163
80	0.4104031876
81	0.4078438416
82	0.4053133804
83	0.4034369275
84	0.4011342912
85	0.3989543461
86	0.3966658711
87	0.3935156496
88	0.3922208536
89	0.3899916631
90	0.3879961544
91	0.3860106489
92	0.384072653
93	0.38218259
94	0.3803367532
95	0.3785277554
96	0.3770775582
97	0.3750278659
98	0.3735397893
99	0.3723079783
100	0.3703740485
101	0.3673678308
102	0.3657360426
103	0.3635398812
104	0.3612771182
105	0.3593609344
106	0.3569372106
107	0.3554605375
108	0.3545475597
109	0.3520551851
110	0.3501359523
111	0.3486365517
112	0.3471755897
113	0.3451879614
114	0.3429486669
115	0.3406339525
116	0.3394156566
117	0.3372369514
118	0.3358713872
119	0.3340816306
120	0.3326093688
121	0.3306532621
122	0.329532783
123	0.3287970392
124	0.327251875
125	0.3253897037
126	0.3236736898
127	0.322503504
128	0.3215934136
129	0.3201143528
130	0.3183520678
131	0.3169443166
132	0.3154723125
133	0.3144879215
134	0.3134010196
135	0.3119273561
136	0.3114755338
137	0.3111083823
138	0.3092974032
139	0.3083284206
140	0.3062192515
141	0.3052778852
142	0.3041906961
143	0.3033279459
144	0.3015467335
145	0.3011332692
146	0.2991391376
147	0.2971764609
148	0.2963540539
149	0.2943589523
150	0.293717085
151	0.2931991226
152	0.292668169
153	0.2907556021
154	0.2898164981
155	0.2893056883
156	0.2872457383
157	0.2866305688
158	0.2859480969
159	0.2856333937
160	0.284968632
161	0.284333171
162	0.2827076198
163	0.2814048445
164	0.2806724491
165	0.2786288973
166	0.2775672092
167	0.2764329167
