iter	Passed	Remaining
0	31	15705
1	48	12170
2	61	10168
3	76	9454
4	91	9036
5	110	9115
6	131	9258
7	144	8866
8	161	8784
9	174	8536
10	190	8456
11	205	8374
12	223	8373
13	241	8383
14	257	8334
15	272	8252
16	288	8205
17	306	8208
18	318	8052
19	331	7953
20	342	7806
21	353	7683
22	366	7603
23	380	7537
24	391	7435
25	404	7382
26	415	7278
27	426	7184
28	435	7074
29	448	7029
30	459	6948
31	469	6868
32	483	6847
33	496	6804
34	509	6764
35	522	6735
36	536	6716
37	548	6662
38	557	6591
39	571	6568
40	583	6533
41	594	6486
42	631	6713
43	657	6818
44	683	6912
45	715	7064
46	726	7004
47	736	6939
48	749	6897
49	761	6850
50	772	6799
51	783	6750
52	793	6695
53	805	6654
54	816	6603
55	828	6566
56	841	6541
57	852	6493
58	864	6463
59	877	6433
60	889	6404
61	901	6369
62	911	6321
63	926	6309
64	938	6283
65	953	6268
66	964	6232
67	980	6226
68	993	6207
69	1006	6181
70	1018	6155
71	1029	6122
72	1040	6085
73	1051	6053
74	1061	6012
75	1071	5979
76	1085	5964
77	1101	5957
78	1117	5952
79	1133	5950
80	1150	5952
81	1169	5963
82	1184	5950
83	1201	5950
84	1216	5941
85	1233	5937
86	1249	5929
87	1263	5917
88	1276	5895
89	1286	5860
90	1298	5836
91	1307	5799
92	1317	5764
93	1325	5726
94	1335	5694
95	1346	5666
96	1362	5661
97	1379	5657
98	1389	5628
99	1402	5610
100	1413	5582
101	1423	5552
102	1435	5532
103	1446	5508
104	1457	5481
105	1467	5454
106	1476	5423
107	1491	5413
108	1503	5391
109	1537	5450
110	1571	5508
111	1603	5554
112	1638	5611
113	1671	5659
114	1724	5773
115	1739	5759
116	1773	5805
117	1830	5926
118	1866	5974
119	1901	6022
120	1936	6065
121	1987	6158
122	2039	6252
123	2067	6268
124	2138	6415
125	2173	6451
126	2220	6522
127	2255	6554
128	2272	6534
129	2287	6509
130	2304	6490
131	2321	6472
132	2339	6456
133	2351	6422
134	2361	6383
135	2370	6344
136	2381	6311
137	2399	6295
138	2415	6273
139	2429	6246
140	2444	6223
141	2456	6193
142	2473	6176
143	2490	6156
144	2502	6126
145	2516	6102
146	2536	6090
147	2551	6068
148	2569	6053
149	2585	6032
150	2600	6011
151	2614	5986
152	2632	5969
153	2647	5948
154	2666	5934
155	2680	5910
156	2691	5880
157	2700	5846
158	2748	5894
159	2790	5928
160	2870	6044
161	2959	6175
162	3009	6222
163	3020	6188
164	3080	6253
165	3095	6227
166	3119	6220
167	3135	6195
168	3149	6168
169	3162	6139
170	3174	6106
171	3188	6079
172	3198	6045
173	3210	6014
174	3221	5983
175	3235	5956
176	3246	5923
177	3260	5897
178	3272	5868
179	3284	5838
180	3302	5820
181	3395	5932
182	3415	5916
183	3480	5977
184	3495	5952
185	3545	5984
186	3582	5995
187	3612	5994
188	3646	6000
189	3667	5984
190	3705	5993
191	3736	5994
192	3785	6021
193	3802	5997
194	3818	5972
195	3830	5940
196	3843	5911
197	3854	5878
198	3866	5847
199	3876	5814
200	3885	5780
201	3897	5749
202	3908	5718
203	3919	5687
204	3931	5656
205	3945	5630
206	3959	5604
207	3976	5582
208	3992	5558
209	4008	5534
210	4025	5513
211	4044	5494
212	4060	5471
213	4074	5445
214	4131	5476
215	4179	5495
216	4209	5490
217	4243	5489
218	4272	5482
219	4286	5454
220	4336	5474
221	4369	5471
222	4440	5516
223	4453	5487
224	4516	5520
225	4531	5494
226	4595	5526
227	4618	5510
228	4655	5509
229	4726	5548
230	4738	5517
231	4818	5565
232	4853	5561
233	4893	5562
234	4944	5575
235	4978	5568
236	5047	5600
237	5083	5595
238	5113	5583
239	5154	5583
240	5187	5574
241	5215	5560
242	5254	5557
243	5285	5545
244	5298	5514
245	5312	5484
246	5326	5455
247	5346	5432
248	5361	5404
249	5379	5379
250	5397	5354
251	5453	5366
252	5468	5339
253	5486	5314
254	5503	5287
255	5521	5262
256	5539	5238
257	5555	5210
258	5570	5182
259	5583	5154
260	5599	5127
261	5616	5101
262	5632	5075
263	5646	5047
264	5659	5018
265	5673	4991
266	5688	4964
267	5706	4940
268	5722	4914
269	5737	4887
270	5752	4861
271	5769	4836
272	5786	4811
273	5800	4784
274	5817	4759
275	5832	4733
276	5847	4707
277	5861	4680
278	5876	4655
279	5892	4629
280	5905	4602
281	5917	4574
282	5925	4543
283	5935	4514
284	5947	4486
285	5957	4457
286	5968	4429
287	5978	4400
288	5989	4373
289	6004	4348
290	6017	4321
291	6027	4293
292	6038	4266
293	6064	4249
294	6079	4224
295	6093	4199
296	6107	4174
297	6120	4148
298	6131	4121
299	6142	4095
300	6153	4068
301	6163	4040
302	6174	4014
303	6184	3987
304	6197	3962
305	6206	3934
306	6216	3907
307	6225	3881
308	6236	3855
309	6246	3828
310	6256	3802
311	6266	3775
312	6278	3750
313	6289	3725
314	6300	3700
315	6312	3675
316	6322	3649
317	6331	3623
318	6343	3599
319	6352	3573
320	6414	3577
321	6460	3571
322	6530	3578
323	6573	3570
324	6585	3545
325	6622	3534
326	6652	3519
327	6687	3506
328	6714	3489
329	6771	3488
330	6822	3483
331	6852	3467
332	6919	3469
333	6962	3460
334	7011	3453
335	7060	3446
336	7088	3428
337	7103	3404
338	7138	3390
339	7233	3403
340	7288	3398
341	7323	3383
342	7360	3369
343	7406	3358
344	7446	3345
345	7473	3326
346	7508	3310
347	7522	3285
348	7536	3260
349	7550	3236
350	7565	3211
351	7583	3188
352	7599	3164
353	7616	3141
354	7635	3118
355	7650	3094
356	7668	3071
357	7685	3048
358	7701	3024
359	7718	3001
360	7734	2978
361	7751	2954
362	7766	2931
363	7782	2907
364	7802	2885
365	7817	2862
366	7833	2838
367	7849	2815
368	7866	2792
369	7882	2769
370	7899	2746
371	7918	2724
372	7935	2701
373	7950	2678
374	7967	2655
375	7987	2634
376	8018	2616
377	8053	2599
378	8067	2575
379	8136	2569
380	8169	2551
381	8202	2533
382	8216	2509
383	8250	2492
384	8305	2480
385	8328	2459
386	8343	2436
387	8361	2413
388	8374	2389
389	8390	2366
390	8406	2343
391	8417	2319
392	8429	2295
393	8440	2270
394	8454	2247
395	8467	2223
396	8478	2199
397	8492	2176
398	8508	2153
399	8521	2130
400	8534	2107
401	8551	2084
402	8568	2062
403	8585	2040
404	8602	2017
405	8618	1995
406	8633	1972
407	8648	1950
408	8666	1928
409	8680	1905
410	8698	1883
411	8713	1861
412	8727	1838
413	8743	1816
414	8757	1793
415	8774	1771
416	8791	1749
417	8809	1728
418	8827	1706
419	8845	1684
420	8862	1663
421	8880	1641
422	8895	1619
423	8912	1597
424	8929	1575
425	8947	1554
426	8962	1532
427	8980	1510
428	8993	1488
429	9008	1466
430	9024	1444
431	9041	1423
432	9059	1401
433	9076	1380
434	9092	1358
435	9109	1337
436	9127	1315
437	9144	1294
438	9161	1273
439	9177	1251
440	9192	1229
441	9209	1208
442	9219	1186
443	9228	1164
444	9239	1141
445	9250	1120
446	9262	1098
447	9272	1076
448	9282	1054
449	9295	1032
450	9306	1011
451	9321	989
452	9333	968
453	9344	946
454	9354	925
455	9366	903
456	9375	882
457	9406	862
458	9422	841
459	9436	820
460	9450	799
461	9466	778
462	9484	757
463	9502	737
464	9518	716
465	9534	695
466	9551	674
467	9567	654
468	9585	633
469	9603	612
470	9618	592
471	9635	571
472	9651	550
473	9667	530
474	9685	509
475	9702	489
476	9720	468
477	9736	448
478	9754	427
479	9770	407
480	9785	386
481	9805	366
482	9820	345
483	9837	325
484	9852	304
485	9866	284
486	9876	263
487	9886	243
488	9899	222
489	9910	202
490	9923	181
491	9935	161
492	9949	141
493	9961	120
494	9976	100
495	9988	80
496	10002	60
497	10014	40
498	10027	20
499	10039	0
