Pm.1,ρ,α,ad-e/n,δ-e/n,δ-Ec,,Pm.2,ΔS,ad-e/n.1,ad-HD,ad-G,δ-χ,δ-EWF,δ-HD,δ-G,,Pm.3,e/a,EWF,ad-e/n.2,δ-e/n.1,δ-ρ,δ-Ec.1,δ-G.1,δ-υ,,Pm.4,ΔS.1,EWF.1,ad-e/n.3,δ-VEC,δ-EWF.1,δ-G.2,δ-G/B,,Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1,
1,7.6065,13.625,0.0458,0.1603,0.0857,BCC+FCC,1,10.9707,0.0458,92.24,29.584,0.0677,0.0669,0.7023,0.4939,BCC+FCC,1,1.95,4.8295,0.0458,0.1603,0.2844,0.0857,0.4939,0.2204,BCC+FCC,1,10.9707,4.8295,0.0458,0.3131,0.0669,0.4939,0.4919,BCC+FCC,1,1.6915,1.95,4.8295,64.24,0.0458,29.584,0.1603,0.2844,BCC+FCC
1,6.631,15.39,0.0485,0.1869,0.1129,BCC+FCC,1,10.7244,0.0485,84.415,17.6675,0.0747,0.0679,0.6603,0.4593,BCC+FCC,1,2.25,4.628,0.0485,0.1869,0.3892,0.1129,0.4593,0.1361,BCC+FCC,1,10.7244,4.628,0.0485,0.3831,0.0679,0.4593,0.3891,BCC+FCC,1,0.9311,2.25,4.628,46.165,0.0485,17.6675,0.1869,0.3892,BCC+FCC
1,7.703,13.53,0.0511,0.1847,0.1136,BCC+FCC,1,10.6407,0.0511,82.08,17.508,0.0686,0.0742,0.6039,0.3677,BCC+FCC,1,2.1,4.833,0.0511,0.1847,0.2583,0.1136,0.3677,0.1188,BCC+FCC,1,10.6407,4.833,0.0511,0.3072,0.0742,0.3677,0.3329,BCC+FCC,1,1.247,2.1,4.833,54.02,0.0511,17.508,0.1847,0.2583,BCC+FCC
1,7.6295,13.855,0.044,0.1675,0.0991,BCC+FCC,1,10.3824,0.044,46,23.375,0.0563,0.024,0.5466,0.381,BCC+FCC,1,1.6,4.5305,0.044,0.1675,0.2302,0.0991,0.381,0.1524,BCC+FCC,1,10.3824,4.5305,0.044,0.3015,0.024,0.381,0.278,BCC+FCC,1,2.7113,1.6,4.5305,69.25,0.044,23.375,0.1675,0.2302,BCC+FCC
1,7.677,15.245,0.0421,0.1506,0.1126,BCC+FCC,1,11.2532,0.0421,42.45,20.082,0.0553,0.0672,0.6176,0.3237,BCC+FCC,1,1.9,4.6995,0.0421,0.1506,0.2789,0.1126,0.3237,0.0731,BCC+FCC,1,11.2532,4.6995,0.0421,0.3041,0.0672,0.3237,0.1441,BCC+FCC,1,7.4613,1.9,4.6995,65.615,0.0421,20.082,0.1506,0.2789,BCC+FCC
4,8.2325,11.605,0.0279,0.1126,0.0273,FCC,4,11.0999,0.0279,64.19,23.499,0.0477,0.058,0.4551,0.3709,FCC,4,1.8,4.7725,0.0279,0.1126,0.0817,0.0273,0.3709,0.2289,FCC,4,11.0999,4.7725,0.0279,0.1575,0.058,0.3709,0.4457,FCC,4,7.0714,1.8,4.7725,73.97,0.0279,23.499,0.1126,0.0817,FCC
3,8.551,14.21,0.0297,0.0913,0.1043,FCC,3,10.3824,0.0297,63.95,18.0475,0.0176,0.047,0.6179,0.2958,FCC,3,1.6,4.7,0.0297,0.0913,0.0577,0.1043,0.2958,0.1198,FCC,3,10.3824,4.7,0.0297,0.1384,0.047,0.2958,0.2643,FCC,3,1.8822,1.6,4.7,61.825,0.0297,18.0475,0.0913,0.0577,FCC
4,8.5975,14.14,0.0274,0.0858,0.1023,FCC,4,11.0999,0.0274,68.35,18.4515,0.017,0.051,0.6289,0.304,FCC,4,1.65,4.75,0.0274,0.0858,0.0548,0.1023,0.304,0.1258,FCC,4,11.0999,4.75,0.0274,0.1303,0.051,0.304,0.2854,FCC,4,2.4306,1.65,4.75,61.565,0.0274,18.4515,0.0858,0.0548,FCC
4,8.392,14.615,0.0261,0.0973,0.1267,FCC,4,10.8536,0.0261,99.08,18.407,0.0539,0.0589,0.668,0.3103,FCC,4,1.75,4.6475,0.0261,0.0973,0.0666,0.1267,0.3103,0.1672,FCC,4,10.8536,4.6475,0.0261,0.1477,0.0589,0.3103,0.3782,FCC,4,3.0241,1.75,4.6475,60.27,0.0261,18.407,0.0973,0.0666,FCC
3,11.9895,6.5,0.0363,0.3501,0.1341,BCC,3,10.3824,0.0363,64.05,30.989,0.173,0.0359,0.4925,0.4476,BCC,3,1.5,4.388,0.0363,0.3501,0.3463,0.1341,0.4476,0.1114,BCC,3,10.3824,4.388,0.0363,0.1186,0.0359,0.4476,0.2593,BCC,3,7.6505,1.5,4.388,79.43,0.0363,30.989,0.3501,0.3463,BCC
4,8.8855,7.11,0.0392,0.4742,0.1318,BCC,4,10.2365,0.0392,39.83,6.304,0.0733,0.0416,0.3401,0.4022,BCC,4,2,4.0775,0.0392,0.4742,0.4583,0.1318,0.4022,0.0492,BCC,4,10.2365,4.0775,0.0392,0.0538,0.0416,0.4022,0.2204,BCC,4,73.6964,2,4.0775,26.395,0.0392,6.304,0.4742,0.4583,BCC
1,7.7305,14.2,0.0476,0.1702,0.1013,BCC+FCC,1,11.5758,0.0476,50.445,24.3135,0.0578,0.0328,0.648,0.4134,BCC+FCC,1,1.55,4.563,0.0476,0.1702,0.2324,0.1013,0.4134,0.1659,BCC+FCC,1,11.5758,4.563,0.0476,0.3028,0.0328,0.4134,0.3219,BCC+FCC,1,3.1261,1.55,4.563,65.485,0.0476,24.3135,0.1702,0.2324,BCC+FCC
1,7.491,14.635,0.0409,0.1627,0.1054,BCC+FCC,1,12.8408,0.0409,71.85,23.652,0.059,0.0495,0.6897,0.4381,BCC+FCC,1,1.8,4.6045,0.0409,0.1627,0.2796,0.1054,0.4381,0.1708,BCC+FCC,1,12.8408,4.6045,0.0409,0.3211,0.0495,0.4381,0.3688,BCC+FCC,1,156.3401,1.8,4.6045,60.185,0.0409,23.652,0.1627,0.2796,BCC+FCC
1,7.5575,14.7,0.0473,0.1745,0.1076,BCC+FCC,1,12.9821,0.0473,78.3,23.958,0.0633,0.0518,0.7583,0.4864,BCC+FCC,1,1.7,4.637,0.0473,0.1745,0.2825,0.1076,0.4864,0.1887,BCC+FCC,1,12.9821,4.637,0.0473,0.3333,0.0518,0.4864,0.4276,BCC+FCC,1,290.1958,1.7,4.637,58.07,0.0473,23.958,0.1745,0.2825,BCC+FCC
1,7.3295,13.405,0.0449,0.1698,0.0969,BCC+FCC,1,13.1708,0.0449,73.55,30,0.0644,0.0531,0.6754,0.4885,BCC+FCC,1,1.75,4.6145,0.0449,0.1698,0.2809,0.0969,0.4885,0.2277,BCC+FCC,1,13.1708,4.6145,0.0449,0.3301,0.0531,0.4885,0.4409,BCC+FCC,1,7.4013,1.75,4.6145,66.5,0.0449,30,0.1698,0.2809,BCC+FCC
1,7.571,14.52,0.051,0.1817,0.1076,BCC+FCC,1,12.2933,0.051,83.745,25.1175,0.0665,0.0537,0.784,0.5253,BCC+FCC,1,1.65,4.662,0.051,0.1817,0.2845,0.1076,0.5253,0.2069,BCC+FCC,1,12.2933,4.662,0.051,0.3413,0.0537,0.5253,0.477,BCC+FCC,1,21.2221,1.65,4.662,57.665,0.051,25.1175,0.1817,0.2845,BCC+FCC
