iter	Passed	Remaining
0	16	9288
1	23	6560
2	29	5430
3	34	4711
4	39	4326
5	45	4123
6	50	3901
7	55	3789
8	61	3688
9	66	3592
10	70	3446
11	75	3404
12	80	3343
13	85	3287
14	91	3276
15	97	3251
16	102	3204
17	108	3199
18	113	3164
19	117	3125
20	122	3098
21	128	3072
22	133	3052
23	138	3030
24	142	3001
25	147	2965
26	151	2942
27	156	2911
28	161	2894
29	166	2877
30	171	2863
31	177	2866
32	182	2864
33	188	2857
34	193	2850
35	198	2834
36	203	2826
37	208	2815
38	213	2797
39	219	2794
40	224	2786
41	229	2770
42	233	2754
43	238	2746
44	239	2693
45	243	2667
46	248	2659
47	254	2658
48	259	2655
49	265	2654
50	269	2639
51	274	2628
52	279	2616
53	283	2606
54	287	2591
55	293	2592
56	298	2585
57	303	2574
58	308	2567
59	314	2568
60	319	2562
61	324	2553
62	329	2549
63	334	2538
64	339	2533
65	343	2519
66	349	2516
67	354	2510
68	358	2499
69	364	2497
70	369	2492
71	374	2488
72	379	2480
73	384	2472
74	389	2468
75	394	2460
76	398	2448
77	402	2436
78	408	2437
79	414	2436
80	419	2428
81	425	2430
82	431	2428
83	437	2426
84	442	2423
85	448	2418
86	453	2414
87	459	2414
88	465	2411
89	470	2407
90	476	2401
91	480	2391
92	486	2388
93	491	2385
94	497	2380
95	501	2371
96	506	2367
97	512	2362
98	517	2358
99	522	2351
100	526	2340
101	532	2338
102	538	2336
103	543	2328
104	549	2329
105	555	2325
106	559	2316
107	564	2309
108	569	2303
109	573	2295
110	579	2291
111	584	2287
112	586	2268
113	591	2262
114	597	2261
115	603	2258
116	609	2256
117	614	2251
118	620	2248
119	621	2227
120	626	2221
121	631	2214
122	635	2206
123	641	2203
124	646	2199
125	651	2193
126	656	2186
127	661	2181
128	665	2173
129	670	2166
130	675	2160
131	680	2154
132	684	2147
133	691	2146
134	696	2140
135	701	2134
136	705	2127
137	710	2122
138	715	2116
139	720	2111
140	725	2103
141	726	2088
142	731	2082
143	737	2079
144	742	2075
145	747	2069
146	754	2068
147	759	2062
148	764	2056
149	769	2051
150	774	2046
151	779	2040
152	784	2036
153	789	2030
154	795	2026
155	799	2018
156	804	2013
157	810	2010
158	815	2004
159	819	1997
160	823	1990
161	829	1986
162	835	1982
163	840	1977
164	845	1973
165	851	1968
166	856	1963
167	862	1960
168	867	1955
169	872	1949
170	877	1945
171	882	1938
172	887	1934
173	893	1930
174	897	1924
175	902	1918
176	907	1912
177	912	1907
178	917	1901
179	922	1896
180	928	1892
181	933	1887
182	938	1881
183	943	1876
184	948	1870
185	953	1865
186	958	1860
187	964	1857
188	969	1852
189	974	1846
190	980	1842
191	985	1838
192	991	1833
193	997	1830
194	1003	1826
195	1008	1820
196	1012	1815
197	1017	1809
198	1022	1803
199	1028	1799
200	1033	1795
201	1038	1788
202	1042	1782
203	1049	1779
204	1054	1774
205	1059	1768
206	1064	1763
207	1069	1759
208	1074	1753
209	1079	1747
210	1084	1741
211	1088	1735
212	1093	1729
213	1098	1725
214	1104	1720
215	1109	1715
216	1114	1710
217	1120	1706
218	1124	1699
219	1130	1695
220	1135	1690
221	1140	1685
222	1145	1679
223	1150	1673
224	1155	1669
225	1160	1663
226	1164	1657
227	1169	1652
228	1175	1647
229	1180	1643
230	1185	1637
231	1190	1632
232	1195	1625
233	1198	1618
234	1204	1613
235	1209	1609
236	1214	1604
237	1220	1599
238	1224	1593
239	1229	1588
240	1234	1582
241	1239	1577
242	1244	1572
243	1250	1567
244	1254	1561
245	1259	1556
246	1263	1550
247	1268	1545
248	1273	1539
249	1278	1533
250	1283	1528
251	1288	1523
252	1293	1518
253	1297	1512
254	1303	1507
255	1309	1503
256	1314	1499
257	1320	1494
258	1325	1489
259	1330	1483
260	1335	1478
261	1340	1473
262	1344	1467
263	1350	1462
264	1355	1457
265	1360	1453
266	1366	1448
267	1371	1443
268	1375	1437
269	1382	1433
270	1387	1428
271	1391	1422
272	1396	1416
273	1401	1411
274	1406	1406
275	1412	1401
276	1417	1397
277	1422	1392
278	1427	1387
279	1433	1382
280	1438	1377
281	1443	1372
282	1448	1366
283	1454	1361
284	1459	1357
285	1465	1352
286	1471	1348
287	1477	1343
288	1484	1340
289	1490	1336
290	1497	1332
291	1502	1327
292	1507	1322
293	1512	1317
294	1518	1312
295	1523	1307
296	1528	1302
297	1534	1297
298	1540	1293
299	1545	1287
300	1550	1282
301	1555	1277
302	1560	1271
303	1565	1266
304	1570	1261
305	1576	1256
306	1581	1251
307	1586	1246
308	1591	1241
309	1596	1235
310	1600	1230
311	1605	1224
312	1609	1218
313	1614	1213
314	1619	1208
315	1624	1203
316	1630	1198
317	1636	1193
318	1641	1189
319	1648	1184
320	1653	1179
321	1658	1174
322	1664	1169
323	1669	1164
324	1674	1159
325	1681	1155
326	1686	1150
327	1690	1144
328	1695	1138
329	1699	1133
330	1704	1127
331	1710	1122
332	1715	1117
333	1719	1112
334	1725	1107
335	1731	1102
336	1736	1097
337	1742	1092
338	1747	1087
339	1753	1082
340	1758	1077
341	1763	1072
342	1768	1067
343	1774	1062
344	1779	1057
345	1783	1051
346	1788	1046
347	1793	1041
348	1798	1035
349	1803	1030
350	1807	1024
351	1812	1019
352	1817	1014
353	1823	1009
354	1827	1003
355	1831	998
356	1838	993
357	1842	988
358	1847	983
359	1853	978
360	1858	972
361	1863	967
362	1869	963
363	1875	958
364	1879	952
365	1885	947
366	1890	942
367	1895	937
368	1900	932
369	1905	926
370	1910	921
371	1916	916
372	1921	911
373	1926	906
374	1932	901
375	1937	896
376	1942	891
377	1948	886
378	1953	881
379	1958	876
380	1964	871
381	1969	866
382	1974	861
383	1980	856
384	1985	850
385	1990	845
386	1996	840
387	2001	835
388	2006	830
389	2011	825
390	2016	819
391	2021	814
392	2028	810
393	2033	805
394	2039	800
395	2045	795
396	2050	790
397	2055	785
398	2061	780
399	2066	775
400	2071	769
401	2076	764
402	2081	759
403	2085	753
404	2091	748
405	2096	743
406	2101	738
407	2106	733
408	2110	727
409	2115	722
410	2121	717
411	2125	711
412	2130	706
413	2136	701
414	2140	696
415	2145	691
416	2150	685
417	2155	680
418	2160	675
419	2166	670
420	2171	665
421	2176	660
422	2181	655
423	2187	650
424	2192	644
425	2197	639
426	2202	634
427	2208	629
428	2213	624
429	2218	619
430	2223	613
431	2229	608
432	2234	603
433	2239	598
434	2245	593
435	2250	588
436	2254	582
437	2259	577
438	2264	572
439	2269	567
440	2274	562
441	2279	557
442	2284	551
443	2289	546
444	2294	541
445	2299	536
446	2303	530
447	2308	525
448	2314	520
449	2320	515
450	2326	510
451	2331	505
452	2336	500
453	2342	495
454	2347	490
455	2352	485
456	2359	480
457	2364	474
458	2369	469
459	2374	464
460	2381	459
461	2386	454
462	2391	449
463	2397	444
464	2402	439
465	2406	433
466	2411	428
467	2416	423
468	2422	418
469	2427	413
470	2432	408
471	2438	402
472	2443	397
473	2447	392
474	2453	387
475	2459	382
476	2465	377
477	2470	372
478	2475	366
479	2481	361
480	2486	356
481	2491	351
482	2496	346
483	2501	341
484	2506	335
485	2511	330
486	2515	325
487	2520	320
488	2526	315
489	2530	309
490	2535	304
491	2540	299
492	2546	294
493	2551	289
494	2557	284
495	2564	279
496	2569	274
497	2575	268
498	2580	263
499	2585	258
500	2590	253
501	2595	248
502	2601	243
503	2607	237
504	2612	232
505	2617	227
506	2621	222
507	2628	217
508	2633	212
509	2638	206
510	2642	201
511	2648	196
512	2653	191
513	2658	186
514	2663	181
515	2668	175
516	2674	170
517	2679	165
518	2683	160
519	2688	155
520	2694	149
521	2700	144
522	2705	139
523	2710	134
524	2716	129
525	2722	124
526	2726	118
527	2731	113
528	2736	108
529	2741	103
530	2747	98
531	2753	93
532	2758	87
533	2763	82
534	2769	77
535	2773	72
536	2778	67
537	2784	62
538	2788	56
539	2794	51
540	2800	46
541	2805	41
542	2811	36
543	2815	31
544	2821	25
545	2825	20
546	2830	15
547	2835	10
548	2841	5
549	2846	0
