Pm.1,ρ,α,ad-e/n,δ-e/n,δ-Ec,,Pm.2,ΔS,ad-e/n.1,ad-HD,ad-G,δ-χ,δ-EWF,δ-HD,δ-G,,Pm.3,e/a,EWF,ad-e/n.2,δ-e/n.1,δ-ρ,δ-Ec.1,δ-G.1,δ-υ,,Pm.4,ΔS.1,EWF.1,ad-e/n.3,δ-VEC,δ-EWF.1,δ-G.2,δ-G/B,,Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1,
1,7.756,13.225,0.0515,0.1798,0.0999,BCC+FCC,1,10.8536,0.0515,86.415,30.759,0.0664,0.0529,0.7199,0.5363,BCC+FCC,1,1.55,4.6905,0.0515,0.1798,0.2382,0.0999,0.5363,0.2449,BCC+FCC,1,10.8536,4.6905,0.0515,0.3137,0.0529,0.5363,0.5237,BCC+FCC,1,123.9665,1.55,4.6905,63.235,0.0515,30.759,0.1798,0.2382,BCC+FCC
1,6.8995,14.3,0.0488,0.172,0.1014,BCC+FCC,1,10.7244,0.0488,95.24,31.6065,0.0722,0.0705,0.7527,0.5704,BCC+FCC,1,2,4.71,0.0488,0.172,0.365,0.1014,0.5704,0.234,BCC+FCC,1,10.7244,4.71,0.0488,0.3786,0.0705,0.5704,0.516,BCC+FCC,1,1.2996,2,4.71,60.405,0.0488,31.6065,0.172,0.365,BCC+FCC
4,8.1065,14.305,0.0253,0.1107,0.071,FCC,4,10.3824,0.0253,84.655,22.265,0.0464,0.0606,0.6265,0.3723,FCC,4,2.1,4.9055,0.0253,0.1107,0.2265,0.071,0.3723,0.1444,FCC,4,10.3824,4.9055,0.0253,0.2308,0.0606,0.3723,0.3575,FCC,4,2.5484,2.1,4.9055,60.425,0.0253,22.265,0.1107,0.2265,FCC
1,8.15,16.46,0.0341,0.1192,0.1763,FCC,1,10.1769,0.0341,162.5,17.824,0.0916,0.0981,0.7807,0.2887,FCC,1,2.05,4.754,0.0341,0.1192,0.1724,0.1763,0.2887,0.1971,FCC,1,10.1769,4.754,0.0341,0.2088,0.0981,0.2887,0.3651,FCC,1,1.8403,2.05,4.754,68.24,0.0341,17.824,0.1192,0.1724,FCC
1,6.9215,16.185,0.0481,0.1885,0.106,BCC+FCC,1,10.2365,0.0481,51.4,22.016,0.0654,0.0314,0.7102,0.4217,BCC+FCC,1,1.85,4.4975,0.0481,0.1885,0.3599,0.106,0.4217,0.1098,BCC+FCC,1,10.2365,4.4975,0.0481,0.4005,0.0314,0.4217,0.2274,BCC+FCC,1,33.9586,1.85,4.4975,58.105,0.0481,22.016,0.1885,0.3599,BCC+FCC
1,6.566,15.23,0.0465,0.175,0.1085,BCC+FCC,1,10.9232,0.0465,45.6,24.252,0.0711,0.0763,0.6797,0.4035,BCC+FCC,1,2.2,4.629,0.0465,0.175,0.3939,0.1085,0.4035,0.1171,BCC+FCC,1,10.9232,4.629,0.0465,0.4071,0.0763,0.4035,0.2092,BCC+FCC,1,1.2334,2.2,4.629,69.62,0.0465,24.252,0.175,0.3939,BCC+FCC
4,8.4595,12.365,0.025,0.0975,0.0239,FCC,4,10.8536,0.025,67.135,19.599,0.0389,0.0581,0.5358,0.3197,FCC,4,1.9,4.8775,0.025,0.0975,0.0709,0.0239,0.3197,0.189,FCC,4,10.8536,4.8775,0.025,0.1373,0.0581,0.3197,0.3837,FCC,4,8.2335,1.9,4.8775,73.065,0.025,19.599,0.0975,0.0709,FCC
2,8.456,12.39,0.0241,0.0956,0.0235,FCC,2,10.8536,0.0241,68.915,21.3675,0.0385,0.0571,0.5103,0.3422,FCC,2,1.9,4.87,0.0241,0.0956,0.0706,0.0235,0.3422,0.1937,FCC,2,10.8536,4.87,0.0241,0.1346,0.0571,0.3422,0.4114,FCC,2,8.5727,1.9,4.87,70.925,0.0241,21.3675,0.0956,0.0706,FCC
1,8.3525,11.55,0.0354,0.1303,0.0313,FCC,1,10.8536,0.0354,76.105,24.8325,0.0547,0.0571,0.5649,0.3803,FCC,1,1.75,4.87,0.0354,0.1303,0.0877,0.0313,0.3803,0.2399,FCC,1,10.8536,4.87,0.0354,0.1813,0.0571,0.3803,0.4609,FCC,1,5.0616,1.75,4.87,75.875,0.0354,24.8325,0.1303,0.0877,FCC
4,8.4935,13.455,0.0259,0.0838,0.0838,FCC,4,10.9707,0.0259,59.28,17.204,0.0188,0.0579,0.5539,0.2635,FCC,4,1.8,4.7675,0.0259,0.0838,0.0591,0.0838,0.2635,0.1258,FCC,4,10.9707,4.7675,0.0259,0.1273,0.0579,0.2635,0.2526,FCC,4,3.8865,1.8,4.7675,68.92,0.0259,17.204,0.0838,0.0591,FCC
2,8.535,13.24,0.0213,0.0731,0.0632,FCC,2,10.8536,0.0213,63.2,18.1605,0.018,0.0582,0.5395,0.2802,FCC,2,1.9,4.835,0.0213,0.0731,0.0564,0.0632,0.2802,0.1425,FCC,2,10.8536,4.835,0.0213,0.1108,0.0582,0.2802,0.3014,FCC,2,9.6673,1.9,4.835,68.315,0.0213,18.1605,0.0731,0.0564,FCC
1,8.3965,16.85,0.0341,0.1163,0.1837,FCC,1,11.0999,0.0341,173.34,16.8545,0.0937,0.0967,0.7731,0.2655,FCC,1,1.85,4.6775,0.0341,0.1163,0.0811,0.1837,0.2655,0.198,FCC,1,11.0999,4.6775,0.0341,0.17,0.0967,0.2655,0.3586,FCC,1,6.6748,1.85,4.6775,67.435,0.0341,16.8545,0.1163,0.0811,FCC
4,8.33,16.34,0.0287,0.0977,0.1821,FCC,4,10.2365,0.0287,148.89,18.1405,0.0916,0.0976,0.5983,0.2884,FCC,4,2,4.6975,0.0287,0.0977,0.08,0.1821,0.2884,0.2205,FCC,4,10.2365,4.6975,0.0287,0.1417,0.0976,0.2884,0.4236,FCC,4,3.1327,2,4.6975,66.315,0.0287,18.1405,0.0977,0.08,FCC
1,8.043,15.61,0.0502,0.1693,0.1372,BCC+FCC,1,10.6407,0.0502,178.2,20.856,0.0875,0.052,0.9686,0.3403,BCC+FCC,1,1.4,4.44,0.0502,0.1693,0.0937,0.1372,0.3403,0.2014,BCC+FCC,1,10.6407,4.44,0.0502,0.2482,0.052,0.3403,0.3033,BCC+FCC,1,2.096,1.4,4.44,73.37,0.0502,20.856,0.1693,0.0937,BCC+FCC
