Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Pm,pred_ensemble,pred_RF,pred_XGB,pred_KNN,pred_CAT,pred_LGB,prob_BCC,prob_BCC+FCC,prob_FCC,prob_IM,Pm.1,ρ,α,ad-e/n,δ-e/n,δ-Ec,Pm.2,ΔS,ad-e/n.1,ad-HD,ad-G,δ-χ,δ-EWF,δ-HD,δ-G,Pm.3,e/a,EWF,ad-e/n.2,δ-e/n.1,δ-ρ,δ-Ec.1,δ-G.1,δ-υ,Pm.4,ΔS.1,EWF.1,ad-e/n.3,δ-VEC,δ-EWF.1,δ-G.2,δ-G/B,Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1
10,30,20,40,0,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,0.0134,0.9884,0.1657,0.196,1,7.936,14.42,0.0487,0.1745,0.1073,1,10.6407,0.0487,82.56,23.056,0.0631,0.0493,0.8002,0.5154,1,1.5,4.688,0.0487,0.1745,0.2358,0.1073,0.5154,0.2031,1,10.6407,4.688,0.0487,0.3041,0.0493,0.5154,0.4854,1,8.5509,1.5,4.688,56.86,0.0487,23.056,0.1745,0.2358
15,35,10,40,0,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,0.0099,0.9892,0.0391,0.0599,1,7.794,15.67,0.0448,0.1694,0.1138,1,10.3824,0.0448,93.24,13.122,0.0624,0.0534,0.8303,0.4641,1,1.65,4.702,0.0448,0.1694,0.2822,0.1138,0.4641,0.1572,1,10.3824,4.702,0.0448,0.3235,0.0534,0.4641,0.4386,1,16.3635,1.65,4.702,48.89,0.0448,13.122,0.1694,0.2822
20,40,30,10,0,0,0,0,0,0,0,0,0,0,0,1,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,0.0676,0.976,0.1928,0.1457,1,7.127,13.77,0.0501,0.1784,0.1009,1,10.6407,0.0501,93.44,32.052,0.07,0.0616,0.726,0.5787,1,1.8,4.671,0.0501,0.1784,0.3268,0.1009,0.5787,0.2485,1,10.6407,4.671,0.0501,0.3643,0.0616,0.5787,0.538,1,2.2696,1.8,4.671,61.08,0.0501,32.052,0.1784,0.3268
20,20,25,0,0,35,0,0,0,0,0,0,0,0,0,1,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,0.0132,0.9493,0.0449,0.3745,1,7.224,13.685,0.053,0.1807,0.0958,1,11.2886,0.053,61.66,29.492,0.0738,0.0746,0.8206,0.4546,1,1.95,4.7835,0.053,0.1807,0.3279,0.0958,0.4546,0.2171,1,11.2886,4.7835,0.053,0.3636,0.0746,0.4546,0.3962,1,1.4009,1.95,4.7835,71.665,0.053,29.492,0.1807,0.3279
20,30,10,0,0,40,0,0,0,0,0,0,0,0,0,1,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,0.0066,0.9931,0.2411,0.0285,1,7.475,14.8,0.0461,0.1639,0.0974,1,10.6407,0.0461,83.46,26.77,0.069,0.0711,0.8224,0.454,1,2.1,4.866,0.0461,0.1639,0.3263,0.0974,0.454,0.1761,1,10.6407,4.866,0.0461,0.3418,0.0711,0.454,0.3948,1,1.3165,2.1,4.866,62.69,0.0461,26.77,0.1639,0.3263
20,40,25,0,0,15,0,0,0,0,0,0,0,0,0,1,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,0.0089,0.9817,0.0436,0.0501,1,7.21,13.785,0.0487,0.169,0.0943,1,10.9707,0.0487,93.24,31.726,0.071,0.0694,0.7214,0.539,1,1.95,4.7535,0.0487,0.169,0.3272,0.0943,0.539,0.2357,1,10.9707,4.7535,0.0487,0.3503,0.0694,0.539,0.5114,1,1.4776,1.95,4.7535,63.105,0.0487,31.726,0.169,0.3272
25,25,15,0,0,35,0,0,0,0,0,0,0,0,0,1,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,0.007,0.9892,0.048,0.122,1,7.082,14.935,0.0524,0.1798,0.1052,1,11.1836,0.0524,74.875,28.895,0.0743,0.0763,0.8712,0.4848,1,2.1,4.7975,0.0524,0.1798,0.3667,0.1052,0.4848,0.1899,1,11.1836,4.7975,0.0524,0.3855,0.0763,0.4848,0.3982,1,1.1967,2.1,4.7975,63.695,0.0524,28.895,0.1798,0.3667
25,30,5,0,0,40,0,0,0,0,0,0,0,0,0,1,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,BCC+FCC,0.0078,0.9935,0.1157,0.0314,1,7.2505,15.67,0.0474,0.1687,0.1066,1,10.1769,0.0474,85.71,25.4275,0.071,0.0743,0.8718,0.4573,1,2.2,4.855,0.0474,0.1687,0.3659,0.1066,0.4573,0.1519,1,10.1769,4.855,0.0474,0.3715,0.0743,0.4573,0.3575,1,1.0784,2.2,4.855,58.425,0.0474,25.4275,0.1687,0.3659
5,35,0,20,40,0,0,0,0,0,0,0,0,0,0,4,FCC,FCC,FCC,FCC,FCC,FCC,0.0056,0.0026,0.9853,0.0233,4,8.169,14.07,0.0252,0.1047,0.0915,4,10.0236,0.0252,65.59,19.072,0.0336,0.0508,0.5076,0.3441,4,1.85,4.694,0.0252,0.1047,0.1645,0.0915,0.3441,0.1447,4,10.0236,4.694,0.0252,0.1961,0.0508,0.3441,0.356,4,5.1344,1.85,4.694,57.66,0.0252,19.072,0.1047,0.1645
5,40,0,20,35,0,0,0,0,0,0,0,0,0,0,4,FCC,FCC,FCC,FCC,FCC,FCC,0.006,0.0018,0.9811,0.0283,4,8.217,14.17,0.0243,0.1034,0.0921,4,10.0236,0.0243,70.84,18.1265,0.0336,0.0515,0.5068,0.3486,4,1.85,4.719,0.0243,0.1034,0.1642,0.0921,0.3486,0.1426,4,10.0236,4.719,0.0243,0.1942,0.0515,0.3486,0.3714,4,5.7027,1.85,4.719,55.605,0.0243,18.1265,0.1034,0.1642
5,20,0,0,35,40,0,0,0,0,0,0,0,0,0,3,FCC,FCC,FCC,FCC,FCC,FCC,0.007,0.0675,0.9779,0.0195,3,8.225,13.39,0.0245,0.0943,0.052,3,10.0236,0.0245,63.365,16.5925,0.0361,0.0651,0.572,0.2706,3,2.05,4.849,0.0245,0.0943,0.1645,0.052,0.2706,0.1349,3,10.0236,4.849,0.0245,0.1802,0.0651,0.2706,0.2647,3,4.1699,2.05,4.849,71.345,0.0245,16.5925,0.0943,0.1645
5,20,0,0,40,35,0,0,0,0,0,0,0,0,0,4,FCC,FCC,FCC,FCC,FCC,FCC,0.0065,0.0007,0.9824,0.0164,4,8.1735,13.315,0.0244,0.0938,0.0518,4,10.0236,0.0244,60.28,16.55,0.0358,0.0657,0.5433,0.2702,4,2.05,4.8165,0.0244,0.0938,0.1647,0.0518,0.2702,0.1364,4,10.0236,4.8165,0.0244,0.1801,0.0657,0.2702,0.2661,4,4.2716,2.05,4.8165,71.26,0.0244,16.55,0.0938,0.1647
5,25,0,0,30,40,0,0,0,0,0,0,0,0,0,4,FCC,FCC,FCC,FCC,FCC,FCC,0.0072,0.0008,0.9928,0.0159,4,8.273,13.49,0.0233,0.0928,0.052,4,10.1769,0.0233,68.0,18.454,0.0359,0.0629,0.5846,0.2926,4,2.05,4.874,0.0233,0.0928,0.164,0.052,0.2926,0.1419,4,10.1769,4.874,0.0233,0.1782,0.0629,0.2926,0.2933,4,4.2556,2.05,4.874,69.29,0.0233,18.454,0.0928,0.164
5,25,0,0,35,35,0,0,0,0,0,0,0,0,0,3,FCC,FCC,FCC,FCC,FCC,FCC,0.0186,0.0667,0.9911,0.0159,3,8.2215,13.415,0.0236,0.0926,0.0518,3,10.2365,0.0236,64.4,18.403,0.0357,0.0641,0.5552,0.2922,3,2.05,4.8415,0.0236,0.0926,0.1644,0.0518,0.2922,0.1435,3,10.2365,4.8415,0.0236,0.1784,0.0641,0.2922,0.295,3,4.3653,2.05,4.8415,69.205,0.0236,18.403,0.0926,0.1644
5,30,0,0,25,40,0,0,0,0,0,0,0,0,0,4,FCC,FCC,FCC,FCC,FCC,FCC,0.0072,0.0009,0.9911,0.0169,4,8.321,13.59,0.0218,0.0911,0.052,4,10.1769,0.0218,72.635,19.9045,0.0357,0.0603,0.5921,0.3124,4,2.05,4.899,0.0218,0.0911,0.1634,0.052,0.3124,0.146,4,10.1769,4.899,0.0218,0.1761,0.0603,0.3124,0.3183,4,4.2894,2.05,4.899,67.235,0.0218,19.9045,0.0911,0.1634
