Pm,ρ,α,ad-e/n,δ-e/n,δ-Ec,Phase
4,8.665,6.76,0.0416,0.4923,0.1387,BCC
3,8.2075,7.285,0.0436,0.3901,0.1661,BCC
2,8.362,6.945,0.0352,0.4118,0.1391,BCC
4,8.224,6.865,0.0348,0.3888,0.1455,BCC
4,9.9015,6.85,0.0411,0.4711,0.1232,BCC
4,9.0355,7.085,0.044,0.4633,0.1537,BCC
3,10.8445,6.575,0.0405,0.3902,0.1469,BCC
4,8.3455,7.365,0.043,0.4313,0.16,BCC
3,9.1335,7.52,0.0386,0.418,0.1589,BCC
4,7.7835,7.065,0.0393,0.4049,0.1381,BCC
2,9.991,7.125,0.0392,0.4494,0.1648,BCC
2,8.111,7.575,0.0458,0.4371,0.1566,BCC
2,8.7005,6.97,0.0367,0.4343,0.1389,BCC
2,10.592,6.74,0.0408,0.5089,0.1383,BCC
3,11.2475,6.825,0.0424,0.5232,0.1423,BCC
4,9.807,6.97,0.0395,0.5656,0.131,BCC
3,7.7215,7.965,0.0462,0.3588,0.197,BCC
4,8.8855,7.11,0.0392,0.4742,0.1318,BCC
4,10.77,7.06,0.0398,0.5977,0.1505,BCC
2,9.834,6.785,0.0354,0.4423,0.1464,BCC
3,7.8385,7.325,0.0399,0.3752,0.1704,BCC
3,10.2095,6.95,0.0389,0.4649,0.141,BCC
3,8.7195,7.22,0.0421,0.439,0.1436,BCC
4,9.534,6.83,0.0392,0.475,0.1473,BCC
4,10.4795,7.115,0.0442,0.4779,0.1469,BCC
4,8.851,7.105,0.0424,0.452,0.1554,BCC
4,10.5195,6.76,0.044,0.5488,0.1479,BCC
4,9.6445,6.9,0.0422,0.4775,0.1483,BCC
3,9.6655,6.705,0.0418,0.5075,0.1443,BCC
4,9.839,7.03,0.0444,0.6727,0.1423,BCC
2,9.005,7.15,0.0417,0.4596,0.1559,BCC
4,10.0415,6.39,0.0373,0.3628,0.1457,BCC
4,7.056,7.59,0.0447,0.3372,0.1746,BCC
4,10.708,7.415,0.0421,0.555,0.1649,BCC
4,8.584,6.855,0.0393,0.4732,0.144,BCC
3,10.673,7.995,0.0403,0.4589,0.1805,BCC
4,10.6455,7.005,0.0439,0.5195,0.1571,BCC
4,8.742,7.39,0.0399,0.4141,0.1542,BCC
3,9.657,7.185,0.0424,0.6117,0.1471,BCC
4,10.195,6.97,0.0375,0.4446,0.1443,BCC
3,7.294,7.835,0.0468,0.3512,0.183,BCC
3,9.4975,7.22,0.0414,0.484,0.1552,BCC
3,10.5335,7.005,0.0374,0.4556,0.1508,BCC
3,9.993,7.085,0.0413,0.6663,0.1596,BCC
3,10.0285,7.0,0.0382,0.4465,0.1479,BCC
3,10.121,7.005,0.0413,0.5156,0.1444,BCC
4,10.846,6.95,0.047,0.5173,0.1495,BCC
3,9.147,7.35,0.0419,0.433,0.1599,BCC
2,11.1425,6.82,0.0344,0.4486,0.1375,BCC
2,10.7705,6.915,0.0393,0.7167,0.1458,BCC
3,11.1145,7.01,0.0383,0.4297,0.134,BCC
3,9.645,7.06,0.0424,0.5034,0.1566,BCC
4,8.4395,6.94,0.043,0.4322,0.1489,BCC
3,12.9695,6.92,0.0384,0.6838,0.1365,BCC
4,7.984,7.01,0.0421,0.3869,0.1438,BCC
4,8.7775,7.785,0.0416,0.3817,0.2005,BCC
3,10.263,7.215,0.0422,0.4757,0.1598,BCC
3,7.168,7.045,0.0448,0.3766,0.1383,BCC
3,11.9895,6.5,0.0363,0.3501,0.1341,BCC
3,9.9405,7.155,0.0395,0.4405,0.1597,BCC
4,7.226,7.59,0.0443,0.3576,0.1613,BCC
3,10.0175,6.93,0.0402,0.5188,0.1395,BCC
4,8.812,6.81,0.0413,0.4604,0.1298,BCC
4,11.8665,6.93,0.0425,0.5324,0.1483,BCC
3,8.6505,7.16,0.0391,0.449,0.1408,BCC
4,7.283,7.775,0.0436,0.3671,0.1753,BCC
3,10.4825,6.72,0.0349,0.5691,0.1287,BCC
3,9.6635,7.16,0.0434,0.4498,0.1622,BCC
4,9.147,7.36,0.0391,0.4145,0.1735,BCC
3,8.4085,6.845,0.0371,0.4,0.1411,BCC
3,10.0945,7.19,0.042,0.46,0.1567,BCC
1,7.565,13.68,0.0482,0.1753,0.1274,BCC+FCC
1,7.559,13.55,0.0439,0.1774,0.1013,BCC+FCC
1,6.693,15.1,0.0484,0.1878,0.115,BCC+FCC
1,7.244,13.81,0.0465,0.1705,0.141,BCC+FCC
1,7.7165,14.59,0.0436,0.1756,0.1144,BCC+FCC
1,7.7135,15.095,0.0501,0.178,0.113,BCC+FCC
1,7.5125,13.3,0.0487,0.1866,0.1264,BCC+FCC
1,7.6975,14.57,0.0448,0.1621,0.106,BCC+FCC
1,7.458,14.345,0.051,0.1803,0.1183,BCC+FCC
1,7.4705,13.81,0.0463,0.1724,0.1011,BCC+FCC
1,7.551,14.83,0.0463,0.1695,0.109,BCC+FCC
1,7.6035,13.815,0.0445,0.1791,0.1361,BCC+FCC
1,7.5575,14.7,0.0473,0.1745,0.1076,BCC+FCC
1,6.9755,15.255,0.0479,0.1794,0.1113,BCC+FCC
1,7.6075,13.735,0.0404,0.1615,0.1124,BCC+FCC
1,7.1345,15.145,0.0438,0.1826,0.1125,BCC+FCC
1,7.6555,14.545,0.0516,0.1795,0.1279,BCC+FCC
1,7.6825,15.375,0.0494,0.191,0.1421,BCC+FCC
1,7.236,12.27,0.0459,0.1736,0.12,BCC+FCC
1,6.7695,15.245,0.0447,0.1792,0.1085,BCC+FCC
1,7.3815,13.56,0.0462,0.176,0.1004,BCC+FCC
1,7.1215,13.27,0.0449,0.174,0.1274,BCC+FCC
1,7.3145,14.15,0.0429,0.1799,0.1042,BCC+FCC
1,6.7075,15.245,0.041,0.164,0.1067,BCC+FCC
1,4.988,18.125,0.0283,0.1464,0.2173,BCC+FCC
1,7.9985,14.765,0.0455,0.1868,0.1257,BCC+FCC
1,7.3125,12.555,0.0503,0.1782,0.0899,BCC+FCC
1,7.5935,12.895,0.0449,0.1876,0.1252,BCC+FCC
1,7.7,14.83,0.0466,0.1706,0.1103,BCC+FCC
1,6.631,15.39,0.0485,0.1869,0.1129,BCC+FCC
1,7.703,13.53,0.0511,0.1847,0.1136,BCC+FCC
1,7.695,13.635,0.043,0.1919,0.1185,BCC+FCC
1,7.253,14.63,0.0497,0.1807,0.1088,BCC+FCC
1,7.204,15.395,0.0556,0.2056,0.1137,BCC+FCC
