Pm.1,ρ,α,ad-e/n,δ-e/n,δ-Ec,
1,7.936,14.42,0.0487,0.1745,0.1073,BCC+FCC
1,7.931,14.275,0.0473,0.1716,0.1073,BCC+FCC
1,7.756,13.225,0.0515,0.1798,0.0999,BCC+FCC
1,7.629,14.91,0.0545,0.1883,0.1073,BCC+FCC
1,7.794,15.67,0.0448,0.1694,0.1138,BCC+FCC
1,7.444,13.57,0.0527,0.1846,0.1017,BCC+FCC
1,7.312,15.11,0.0556,0.193,0.1102,BCC+FCC
1,7.307,14.965,0.0538,0.1884,0.1104,BCC+FCC
1,7.477,15.87,0.0486,0.1778,0.1156,BCC+FCC
1,7.2145,14.295,0.0517,0.1823,0.1055,BCC+FCC
1,7.127,13.77,0.0501,0.1784,0.1009,BCC+FCC
1,7.6995,13.93,0.0447,0.159,0.0867,BCC+FCC
1,7.2695,12.155,0.0478,0.17,0.0829,BCC+FCC
1,7.438,12.89,0.0487,0.1681,0.0847,BCC+FCC
1,7.352,12.535,0.0481,0.168,0.0836,BCC+FCC
1,7.6065,13.625,0.0458,0.1603,0.0857,BCC+FCC
1,7.224,13.685,0.053,0.1807,0.0958,BCC+FCC
1,7.475,14.8,0.0461,0.1639,0.0974,BCC+FCC
1,7.0415,13.05,0.0473,0.1695,0.092,BCC+FCC
1,7.554,15.205,0.0412,0.1539,0.0972,BCC+FCC
1,7.21,13.785,0.0487,0.169,0.0943,BCC+FCC
1,7.038,13.075,0.046,0.165,0.0915,BCC+FCC
1,7.082,14.935,0.0524,0.1798,0.1052,BCC+FCC
1,7.2505,15.67,0.0474,0.1687,0.1066,BCC+FCC
1,6.8995,14.3,0.0488,0.172,0.1014,BCC+FCC
1,6.9435,16.16,0.0521,0.1803,0.1141,BCC+FCC
1,6.8505,15.855,0.0517,0.1791,0.1122,BCC+FCC
1,6.847,15.88,0.0507,0.1764,0.1118,BCC+FCC
1,6.6615,11.235,0.0368,0.1704,0.1431,BCC+FCC
1,6.9335,11.785,0.0433,0.1723,0.1267,BCC+FCC
3,8.184,14.505,0.0317,0.117,0.1039,FCC
4,8.169,14.07,0.0252,0.1047,0.0915,FCC
3,8.222,14.315,0.0261,0.1081,0.0976,FCC
3,8.275,14.56,0.027,0.1101,0.1027,FCC
3,8.164,13.925,0.0231,0.099,0.0846,FCC
4,8.217,14.17,0.0243,0.1034,0.0921,FCC
4,7.867,14.705,0.032,0.1294,0.1029,FCC
3,7.862,14.56,0.0297,0.1245,0.0989,FCC
3,7.857,14.415,0.0274,0.1189,0.0937,FCC
2,7.91,14.66,0.0294,0.1238,0.0997,FCC
2,7.55,14.905,0.0306,0.1351,0.101,FCC
2,7.545,14.76,0.0281,0.1284,0.0959,FCC
4,7.598,15.005,0.0312,0.135,0.1017,FCC
2,7.593,14.86,0.0289,0.1287,0.0966,FCC
3,8.225,13.39,0.0245,0.0943,0.052,FCC
4,8.1735,13.315,0.0244,0.0938,0.0518,FCC
4,8.273,13.49,0.0233,0.0928,0.052,FCC
3,8.2215,13.415,0.0236,0.0926,0.0518,FCC
4,8.321,13.59,0.0218,0.0911,0.052,FCC
2,8.2695,13.515,0.0225,0.0912,0.0518,FCC
3,8.218,13.44,0.0226,0.0907,0.0516,FCC
2,8.3175,13.615,0.0211,0.0897,0.0518,FCC
4,8.266,13.54,0.0216,0.0895,0.0516,FCC
2,8.417,13.79,0.0186,0.0873,0.0518,FCC
2,8.3655,13.715,0.0195,0.088,0.0517,FCC
3,8.314,13.64,0.0204,0.0881,0.0516,FCC
3,8.2625,13.565,0.0208,0.0875,0.0514,FCC
4,7.918,13.88,0.0297,0.1161,0.0707,FCC
4,7.8665,13.805,0.0288,0.115,0.0703,FCC
3,7.9145,13.905,0.0286,0.1144,0.0705,FCC
3,7.863,13.83,0.0276,0.1129,0.07,FCC
4,7.911,13.93,0.0276,0.1124,0.0702,FCC
3,8.062,14.18,0.0272,0.1132,0.0711,FCC
3,7.959,14.03,0.0272,0.1118,0.0704,FCC
2,7.9075,13.955,0.0265,0.1103,0.07,FCC
4,8.11,14.28,0.0259,0.112,0.0712,FCC
1,8.0585,14.205,0.0265,0.1118,0.0709,FCC
4,8.007,14.13,0.0266,0.1111,0.0706,FCC
1,7.9555,14.055,0.0263,0.1098,0.0702,FCC
4,8.1065,14.305,0.0253,0.1107,0.071,FCC
3,8.055,14.23,0.0258,0.1102,0.0707,FCC
1,8.0035,14.155,0.0258,0.1092,0.0703,FCC
2,7.952,14.08,0.0253,0.1076,0.0699,FCC
1,7.9005,14.005,0.0243,0.1054,0.0694,FCC
4,7.849,13.93,0.0229,0.1024,0.0689,FCC
3,7.611,14.37,0.0339,0.1337,0.0844,FCC
4,7.5595,14.295,0.0322,0.1319,0.0838,FCC
3,7.6555,14.495,0.0329,0.1315,0.0844,FCC
4,7.604,14.42,0.0315,0.1296,0.0838,FCC
4,7.5525,14.345,0.0296,0.1273,0.0832,FCC
2,7.652,14.52,0.0318,0.1295,0.0841,FCC
4,7.549,14.37,0.0283,0.1246,0.0829,FCC
4,7.59,14.52,0.0267,0.1193,0.0826,FCC
1,7.045,15.45,0.0404,0.161,0.1043,BCC+FCC
1,7.189,15.75,0.043,0.1613,0.1058,BCC+FCC
1,7.086,15.6,0.0392,0.1569,0.1042,BCC+FCC
1,7.237,15.85,0.0433,0.1611,0.1062,BCC+FCC
1,7.285,15.95,0.0434,0.1609,0.1066,BCC+FCC
1,7.2265,15.925,0.0408,0.1555,0.1053,BCC+FCC
1,6.882,16.24,0.0466,0.1731,0.1132,BCC+FCC
1,6.631,15.39,0.0485,0.1869,0.1129,BCC+FCC
1,7.333,11.84,0.0447,0.1695,0.1148,BCC+FCC
1,7.381,11.94,0.0456,0.1721,0.1141,BCC+FCC
1,7.429,12.04,0.0465,0.1746,0.1134,BCC+FCC
1,7.517,12.215,0.0424,0.1637,0.1094,BCC+FCC
4,7.6695,16.255,0.0203,0.0835,0.1756,FCC
1,7.5095,14.735,0.05,0.1922,0.0943,BCC+FCC
1,7.206,15.2,0.0556,0.2044,0.1062,BCC+FCC
1,7.199,15.25,0.0542,0.201,0.1059,BCC+FCC
1,7.116,15.87,0.0522,0.1894,0.1118,BCC+FCC
1,7.703,13.53,0.0511,0.1847,0.1136,BCC+FCC
1,7.5355,14.27,0.0509,0.1829,0.1199,BCC+FCC
1,7.504,15.285,0.0442,0.1647,0.1115,BCC+FCC
1,8.078,16.88,0.0352,0.121,0.1855,FCC
1,8.15,16.46,0.0341,0.1192,0.1763,FCC
4,8.0675,16.955,0.0323,0.1134,0.1842,FCC
1,7.6295,13.855,0.044,0.1675,0.0991,BCC+FCC
1,7.5075,13.05,0.0438,0.1772,0.0947,BCC+FCC
1,7.473,12.77,0.0472,0.1835,0.0931,BCC+FCC
1,7.4235,14.69,0.0505,0.1835,0.1006,BCC+FCC
1,7.3545,14.13,0.0551,0.1976,0.096,BCC+FCC
1,7.161,13.115,0.0478,0.186,0.0948,BCC+FCC
1,7.1805,15.595,0.0454,0.177,0.106,BCC+FCC
1,7.0055,14.545,0.0438,0.1794,0.1023,BCC+FCC
1,7.024,14.51,0.0495,0.1917,0.1007,BCC+FCC
1,6.8835,13.74,0.0457,0.1811,0.0981,BCC+FCC
1,6.9215,16.185,0.0481,0.1885,0.106,BCC+FCC
1,6.606,14.365,0.0435,0.1742,0.1012,BCC+FCC
1,8.0415,14.455,0.0469,0.1643,0.1145,BCC+FCC
1,7.817,15.325,0.0484,0.1696,0.1193,BCC+FCC
1,7.642,14.275,0.0564,0.1861,0.1124,BCC+FCC
1,7.645,14.615,0.0579,0.1899,0.1132,BCC+FCC
1,7.4175,15.145,0.0576,0.1907,0.1176,BCC+FCC
1,7.291,12.695,0.045,0.1672,0.0836,BCC+FCC
1,7.2565,12.415,0.0473,0.1724,0.0836,BCC+FCC
1,7.205,12.34,0.0451,0.1676,0.0825,BCC+FCC
1,7.136,11.78,0.0475,0.1757,0.0821,BCC+FCC
1,6.946,12.93,0.0475,0.1757,0.092,BCC+FCC
1,6.739,14.285,0.0433,0.1658,0.0999,BCC+FCC
1,6.566,15.23,0.0465,0.175,0.1085,BCC+FCC
1,7.0745,13.265,0.044,0.1759,0.1365,BCC+FCC
4,7.621,14.66,0.0385,0.1432,0.0996,FCC
1,7.677,15.245,0.0421,0.1506,0.1126,BCC+FCC
1,7.73,15.49,0.0429,0.1517,0.1157,BCC+FCC
1,7.6785,15.415,0.0431,0.1527,0.1141,BCC+FCC
1,7.6815,15.755,0.0451,0.1565,0.1135,BCC+FCC
1,7.3135,15.515,0.0432,0.1626,0.1128,BCC+FCC
1,7.05,15.595,0.043,0.1665,0.1096,BCC+FCC
1,6.791,16.185,0.0464,0.178,0.1162,BCC+FCC
1,6.7765,15.195,0.0461,0.1846,0.1091,BCC+FCC
1,7.49,11.965,0.0459,0.1829,0.1089,BCC+FCC
4,7.7555,15.735,0.0246,0.1095,0.1697,FCC
1,4.833,18.82,0.0273,0.1485,0.231,BCC+FCC
4,8.4565,13.735,0.0301,0.1076,0.0984,FCC
4,8.5095,13.98,0.0316,0.108,0.1022,FCC
4,8.5045,13.835,0.0292,0.1054,0.0993,FCC
4,8.5575,14.08,0.0305,0.1055,0.1033,FCC
2,8.4995,13.69,0.0264,0.1022,0.0951,FCC
4,8.4945,13.545,0.0234,0.0984,0.0896,FCC
4,8.5475,13.79,0.0257,0.1001,0.0959,FCC
4,8.6305,12.75,0.0266,0.1147,0.0669,FCC
4,8.713,13.13,0.0224,0.0977,0.0662,FCC
4,8.281,11.785,0.0298,0.1124,0.0269,FCC
4,8.195,11.43,0.0309,0.1208,0.0286,FCC
3,8.329,11.885,0.0297,0.112,0.027,FCC
3,8.2775,11.81,0.0286,0.1102,0.0265,FCC
4,8.346,11.68,0.0338,0.1244,0.0298,FCC
3,8.2945,11.605,0.0329,0.1229,0.0294,FCC
3,8.243,11.53,0.0315,0.1208,0.0288,FCC
3,8.2085,11.25,0.0344,0.1303,0.0308,FCC
4,8.157,11.175,0.0322,0.1273,0.03,FCC
3,8.463,12.34,0.0258,0.0991,0.0242,FCC
4,8.4115,12.265,0.0259,0.0986,0.0241,FCC
3,8.4285,12.06,0.0296,0.1123,0.0272,FCC
4,8.274,11.835,0.0274,0.1077,0.026,FCC
4,8.3425,11.705,0.0328,0.1225,0.0294,FCC
4,8.291,11.63,0.0318,0.1207,0.0289,FCC
2,8.2565,11.35,0.035,0.1304,0.031,FCC
4,8.205,11.275,0.0332,0.1277,0.0303,FCC
4,8.494,12.645,0.0212,0.0819,0.0203,FCC
4,8.4425,12.57,0.0215,0.0814,0.0202,FCC
2,8.511,12.44,0.0245,0.0977,0.0239,FCC
4,8.4595,12.365,0.025,0.0975,0.0239,FCC
2,8.408,12.29,0.0249,0.0966,0.0237,FCC
4,8.3565,12.215,0.0244,0.095,0.0233,FCC
3,8.4765,12.16,0.0286,0.1113,0.027,FCC
1,8.425,12.085,0.0287,0.1106,0.0269,FCC
4,8.3735,12.01,0.0284,0.1094,0.0266,FCC
4,8.322,11.935,0.0275,0.1075,0.0261,FCC
2,8.442,11.88,0.0326,0.1231,0.0297,FCC
4,8.3905,11.805,0.0325,0.1221,0.0294,FCC
1,8.339,11.73,0.0318,0.1205,0.029,FCC
3,8.2875,11.655,0.0307,0.1184,0.0285,FCC
4,8.4075,11.6,0.0367,0.1336,0.032,FCC
2,8.356,11.525,0.0362,0.1323,0.0317,FCC
2,8.3045,11.45,0.0353,0.1304,0.0312,FCC
2,8.253,11.375,0.0339,0.128,0.0306,FCC
2,8.2015,11.3,0.032,0.1249,0.0298,FCC
4,8.081,10.665,0.0368,0.1363,0.0321,FCC
3,8.542,12.745,0.0198,0.0801,0.0198,FCC
2,8.4905,12.67,0.0204,0.08,0.0199,FCC
3,8.559,12.54,0.023,0.0962,0.0236,FCC
2,8.5075,12.465,0.0238,0.0962,0.0236,FCC
2,8.456,12.39,0.0241,0.0956,0.0235,FCC
3,8.4045,12.315,0.024,0.0944,0.0233,FCC
4,8.473,12.185,0.0279,0.1097,0.0267,FCC
3,8.4215,12.11,0.0279,0.1087,0.0265,FCC
4,8.37,12.035,0.0274,0.1072,0.0262,FCC
3,8.3185,11.96,0.0265,0.105,0.0257,FCC
2,8.49,11.98,0.0317,0.1222,0.0296,FCC
2,8.4385,11.905,0.0319,0.1214,0.0294,FCC
2,8.387,11.83,0.0316,0.1201,0.0291,FCC
1,8.3355,11.755,0.0309,0.1183,0.0286,FCC
4,8.284,11.68,0.0296,0.1158,0.028,FCC
4,8.2325,11.605,0.0279,0.1126,0.0273,FCC
3,8.404,11.625,0.0359,0.1319,0.0317,FCC
1,8.3525,11.55,0.0354,0.1303,0.0313,FCC
2,8.301,11.475,0.0344,0.1281,0.0308,FCC
3,8.2495,11.4,0.0328,0.1253,0.0301,FCC
3,8.6415,12.92,0.0178,0.0773,0.019,FCC
4,8.487,12.695,0.0196,0.0779,0.0195,FCC
3,8.607,12.64,0.0212,0.0945,0.0231,FCC
1,8.5555,12.565,0.0224,0.0948,0.0233,FCC
4,8.504,12.49,0.0231,0.0945,0.0233,FCC
2,8.5725,12.36,0.0258,0.1088,0.0265,FCC
3,8.521,12.285,0.0267,0.1087,0.0265,FCC
4,8.418,12.135,0.0271,0.1067,0.0261,FCC
3,8.431,12.29,0.0357,0.1438,0.066,FCC
1,7.8935,14.96,0.0357,0.1346,0.1819,FCC
1,8.2165,15.655,0.0361,0.1221,0.1806,FCC
1,8.2885,15.235,0.0358,0.1216,0.1709,FCC
4,8.227,16.455,0.0334,0.1124,0.19,FCC
1,8.371,15.615,0.032,0.1103,0.1719,FCC
1,8.213,15.68,0.035,0.1193,0.1802,FCC
4,8.5485,13.505,0.0256,0.0816,0.085,FCC
4,8.5015,13.94,0.0299,0.0922,0.1006,FCC
4,8.545,13.53,0.0253,0.0813,0.0846,FCC
4,8.4935,13.455,0.0259,0.0838,0.0838,FCC
4,8.6495,13.85,0.0235,0.0769,0.0936,FCC
3,8.598,13.775,0.0252,0.0809,0.0927,FCC
4,8.651,14.02,0.0244,0.0791,0.0995,FCC
4,8.6525,14.19,0.0253,0.0811,0.104,FCC
4,8.5495,14.04,0.0286,0.0891,0.1015,FCC
3,8.551,14.21,0.0297,0.0913,0.1043,FCC
4,8.59,13.29,0.0218,0.0717,0.0639,FCC
2,8.54,13.385,0.0235,0.0777,0.0752,FCC
2,8.6445,13.705,0.0228,0.0747,0.0858,FCC
2,8.593,13.63,0.024,0.0782,0.0851,FCC
4,8.5415,13.555,0.0247,0.081,0.0843,FCC
4,8.6975,13.95,0.022,0.0728,0.0941,FCC
3,8.646,13.875,0.0238,0.0773,0.0932,FCC
4,8.5945,13.8,0.0251,0.081,0.0923,FCC
4,8.543,13.725,0.026,0.084,0.0914,FCC
4,8.493,13.82,0.0276,0.0893,0.0957,FCC
4,8.649,14.215,0.0258,0.0818,0.1035,FCC
4,8.5975,14.14,0.0274,0.0858,0.1023,FCC
4,8.482,12.995,0.0198,0.0697,0.0467,FCC
2,8.638,13.39,0.0205,0.0683,0.064,FCC
2,8.535,13.24,0.0213,0.0731,0.0632,FCC
3,8.6395,13.56,0.0216,0.0717,0.0761,FCC
3,8.588,13.485,0.0224,0.0747,0.0756,FCC
2,8.5365,13.41,0.0226,0.077,0.0749,FCC
1,8.538,13.58,0.0239,0.0805,0.084,FCC
2,8.6425,13.9,0.0239,0.0775,0.0929,FCC
4,8.591,13.825,0.0248,0.0809,0.092,FCC
2,8.5395,13.75,0.0253,0.0836,0.091,FCC
4,8.644,14.07,0.025,0.08,0.0987,FCC
4,8.5925,13.995,0.026,0.0836,0.0976,FCC
3,8.4895,13.845,0.0267,0.0889,0.0953,FCC
4,8.594,14.165,0.0272,0.0861,0.1018,FCC
4,8.5425,14.09,0.0279,0.0892,0.1005,FCC
2,8.633,13.245,0.0188,0.0638,0.0471,FCC
3,8.5815,13.17,0.0189,0.066,0.047,FCC
