Pm,ρ,α,ad-e/n,δ-e/n,δ-Ec,Phase
3,8.6012,8.9882,0.0537,0.3846,0.245,BCC
3,11.2625,6.475,0.0245,0.3015,0.1088,BCC
3,6.6221,10.2316,0.0369,0.233,0.2496,BCC
2,11.88,6.72,0.0356,0.3466,0.1901,BCC
3,8.4238,7.125,0.0397,0.3949,0.1403,BCC
1,6.4266,9.476,0.0209,0.1602,0.1631,BCC
3,8.3553,8.3824,0.0495,0.2907,0.2727,BCC
3,8.7867,7.9333,0.0428,0.4303,0.1775,BCC
3,6.4927,7.8152,0.0377,0.286,0.1777,BCC
1,6.4575,14.9,0.0605,0.232,0.1282,BCC
1,7.0218,15.4454,0.0437,0.1714,0.1474,BCC
3,7.2442,7.2895,0.0351,0.2703,0.16,BCC
3,12.6975,6.65,0.0476,0.4783,0.1786,BCC
3,6.8042,7.5889,0.0347,0.2737,0.1713,BCC
2,7.625,7.2,0.0417,0.2799,0.2418,BCC
1,3.3477,22.15,0.0169,0.1228,0.085,BCC
3,6.8825,7.6146,0.0425,0.2685,0.1552,BCC
2,6.155,11.275,0.039,0.2082,0.2674,BCC
3,12.7,6.3333,0.0334,0.3348,0.1574,BCC
3,9.5019,8.1472,0.043,0.463,0.2061,BCC
4,8.3529,7.5653,0.0387,0.3877,0.1794,BCC
1,9.842,7.56,0.069,0.4129,0.3161,BCC
3,7.545,7.64,0.0323,0.2994,0.1863,BCC
3,6.4275,7.9,0.0443,0.3007,0.1735,BCC
2,6.8943,14.2095,0.0457,0.1676,0.0991,BCC
1,7.5724,13.9104,0.0457,0.1689,0.102,BCC+FCC
1,6.8559,15.3353,0.0517,0.1886,0.1127,BCC+FCC
1,7.454,15.84,0.0419,0.1595,0.115,BCC+FCC
3,7.4972,14.4442,0.0422,0.1559,0.0921,BCC+FCC
1,7.5457,11.2952,0.0486,0.1807,0.1063,BCC+FCC
3,7.3824,13.7978,0.0296,0.1236,0.1492,BCC+FCC
1,7.9478,11.2778,0.0658,0.2747,0.2138,BCC+FCC
1,7.2736,14.3182,0.0473,0.1778,0.1054,BCC+FCC
1,7.245,13.3333,0.0409,0.1596,0.0869,BCC+FCC
1,7.5254,14.1615,0.0466,0.1702,0.1038,BCC+FCC
1,7.9613,11.1733,0.0751,0.3031,0.2247,BCC+FCC
1,7.8236,10.4,0.0491,0.1843,0.0477,BCC+FCC
1,7.7746,13.1904,0.0423,0.1584,0.0922,BCC+FCC
1,6.8673,13.4182,0.0516,0.1978,0.1006,BCC+FCC
3,7.1332,10.0631,0.0342,0.1491,0.1588,BCC+FCC
1,3.859,21.0053,0.027,0.1526,0.1052,BCC+FCC
3,7.6758,10.4121,0.0469,0.1863,0.049,BCC+FCC
1,6.0877,16.0154,0.0479,0.1794,0.1153,BCC+FCC
1,7.0477,14.9538,0.0501,0.1841,0.1103,BCC+FCC
1,4.2729,20.0786,0.0337,0.167,0.1145,BCC+FCC
1,3.6175,21.5458,0.0226,0.1406,0.0972,BCC+FCC
1,7.9463,13.1,0.0463,0.1603,0.0962,BCC+FCC
3,7.7086,14.4857,0.0309,0.1265,0.0824,BCC+FCC
1,6.1887,16.3267,0.0514,0.2725,0.3705,BCC+FCC
1,7.6702,13.6526,0.0489,0.1711,0.1021,BCC+FCC
4,8.2911,11.7286,0.0301,0.1156,0.0278,FCC
1,8.2125,12.125,0.0387,0.147,0.0855,FCC
