Pm,e/a,EWF,ad-e/n,δ-e/n,δ-ρ,δ-Ec,δ-G,δ-υ,Phase
1,1.95,4.61,0.0313,0.1223,0.0927,0.1726,0.2012,0.1605,FCC
3,1.9,4.8165,0.0314,0.1219,0.1699,0.0682,0.3495,0.1812,FCC
1,1.85,4.722,0.0474,0.1895,0.2243,0.0985,0.3426,0.1344,BCC+FCC
3,1.75,4.155,0.0409,0.7445,0.2916,0.1578,0.4079,0.0733,BCC
4,1.95,4.844,0.03,0.1304,0.1232,0.0316,0.3255,0.1714,FCC
1,2.0,4.6415,0.0337,0.1375,0.1276,0.175,0.2546,0.1905,FCC
1,1.95,4.841,0.049,0.2012,0.248,0.0924,0.4368,0.128,BCC+FCC
1,1.75,4.6845,0.0477,0.1721,0.2839,0.1233,0.5142,0.2009,BCC+FCC
1,1.85,4.667,0.045,0.1618,0.2839,0.1277,0.5209,0.2535,BCC+FCC
4,1.8,4.7325,0.0342,0.1271,0.0902,0.0928,0.2394,0.1223,FCC
3,1.95,4.734,0.0318,0.1692,0.1639,0.1754,0.3343,0.1508,FCC
1,1.75,4.7025,0.0346,0.1318,0.0935,0.1727,0.302,0.1757,FCC
1,2.05,4.7585,0.045,0.1749,0.2992,0.1061,0.3525,0.1067,BCC+FCC
1,2.1,4.8085,0.042,0.1576,0.3246,0.103,0.4371,0.1556,BCC+FCC
1,2.0,4.614,0.0329,0.1243,0.1717,0.1717,0.2405,0.1749,FCC
1,1.8,4.7085,0.0548,0.1888,0.328,0.1112,0.5183,0.2045,BCC+FCC
4,2.0,4.819,0.03,0.138,0.1334,0.0527,0.3442,0.1537,FCC
1,1.9,4.685,0.0335,0.1254,0.0958,0.1769,0.2974,0.1961,FCC
1,2.05,4.559,0.0286,0.1245,0.1745,0.1731,0.2307,0.1597,FCC
1,1.45,4.519,0.0472,0.1787,0.1757,0.1179,0.3491,0.2043,BCC+FCC
2,1.8,4.502,0.0771,0.4708,0.3316,0.1674,0.5844,0.1205,IM
1,1.65,4.5905,0.045,0.1625,0.2332,0.1297,0.4238,0.187,BCC+FCC
1,2.05,4.6915,0.0481,0.1875,0.2062,0.1073,0.2607,0.1018,BCC+FCC
1,1.9,4.765,0.0316,0.1126,0.083,0.1434,0.3197,0.2215,FCC
2,1.85,4.472,0.0972,0.4966,0.3191,0.221,0.5882,0.147,IM
1,1.85,4.7595,0.0475,0.1756,0.2543,0.1101,0.3475,0.1183,BCC+FCC
1,1.9,4.677,0.0481,0.1693,0.2822,0.1363,0.3421,0.1385,BCC+FCC
1,1.45,4.639,0.0509,0.1802,0.1855,0.1256,0.4647,0.2013,BCC+FCC
1,1.95,4.837,0.0501,0.1966,0.1952,0.1152,0.4407,0.1935,BCC+FCC
1,1.75,4.702,0.0527,0.1852,0.2842,0.0964,0.3882,0.1982,BCC+FCC
4,1.9,4.839,0.0392,0.1799,0.1274,0.1309,0.3065,0.1347,FCC
4,1.85,4.825,0.0378,0.1749,0.0716,0.1577,0.2675,0.171,FCC
1,1.85,4.774,0.0474,0.1745,0.1961,0.1343,0.2892,0.0933,BCC+FCC
4,1.85,4.6075,0.0762,0.3726,0.3516,0.2217,0.5839,0.2037,IM
3,1.85,4.582,0.1089,0.5098,0.2908,0.1965,0.5369,0.1441,IM
1,2.05,4.721,0.0435,0.1728,0.2987,0.0898,0.4255,0.1802,BCC+FCC
2,1.85,4.518,0.0837,0.4665,0.3305,0.2177,0.6627,0.1236,IM
1,1.85,4.697,0.0404,0.1573,0.2812,0.106,0.4767,0.1764,BCC+FCC
2,1.9,4.835,0.0213,0.0731,0.0564,0.0632,0.2802,0.1425,FCC
1,1.95,4.7285,0.0476,0.1923,0.2739,0.1083,0.3855,0.1279,BCC+FCC
1,1.65,4.753,0.0478,0.1735,0.2014,0.1125,0.3593,0.1417,BCC+FCC
1,1.8,4.697,0.0455,0.1685,0.2833,0.1009,0.5114,0.216,BCC+FCC
1,1.95,4.6605,0.0478,0.1796,0.247,0.1128,0.3584,0.1748,BCC+FCC
3,1.75,4.1485,0.0391,0.4254,0.377,0.1599,0.6595,0.1121,BCC
1,1.65,4.628,0.0467,0.1649,0.2347,0.1414,0.4342,0.1971,BCC+FCC
4,1.7,4.165,0.0399,0.4141,0.3886,0.1542,0.6449,0.0629,BCC
3,1.7,4.699,0.0368,0.1364,0.1704,0.0974,0.3623,0.1659,FCC
1,1.5,4.639,0.0474,0.1717,0.1833,0.1263,0.4411,0.1839,BCC+FCC
1,1.8,4.6545,0.0493,0.1812,0.2924,0.1224,0.5566,0.2484,BCC+FCC
1,1.9,4.62,0.03,0.1102,0.0783,0.1582,0.2115,0.1707,FCC
1,1.85,4.6185,0.0468,0.1829,0.2985,0.1201,0.3862,0.1156,BCC+FCC
1,1.85,4.761,0.0542,0.1946,0.3038,0.1114,0.5122,0.1943,BCC+FCC
4,1.75,4.8,0.0321,0.1637,0.0504,0.1881,0.3248,0.1388,FCC
2,1.55,4.1905,0.0371,0.4072,0.3312,0.1332,0.5185,0.07,BCC
1,2.1,4.815,0.0552,0.2021,0.321,0.1197,0.4595,0.1719,BCC+FCC
2,1.8,4.175,0.0399,0.4927,0.4011,0.1448,0.4162,0.0789,BCC
3,1.95,4.1015,0.0427,0.4426,0.4454,0.1299,0.2199,0.0339,BCC
3,1.8,4.613,0.1052,0.5386,0.3616,0.2393,0.609,0.1351,IM
1,2.05,4.877,0.0411,0.1615,0.2546,0.1059,0.4381,0.1761,BCC+FCC
1,1.9,4.6735,0.0474,0.1724,0.3243,0.1152,0.4114,0.1299,BCC+FCC
1,1.6,4.6705,0.0467,0.1662,0.2338,0.1074,0.4378,0.1796,BCC+FCC
1,1.9,4.705,0.0318,0.1219,0.0936,0.1638,0.2989,0.1872,FCC
4,1.95,4.765,0.035,0.1474,0.1184,0.0914,0.2933,0.1383,FCC
1,1.95,4.8345,0.0495,0.1785,0.2579,0.1066,0.4284,0.208,BCC+FCC
1,1.75,4.5485,0.0507,0.1807,0.3231,0.1076,0.4031,0.1091,BCC+FCC
1,1.65,4.697,0.0521,0.1999,0.2282,0.1339,0.4895,0.179,BCC+FCC
1,2.25,4.6215,0.0433,0.1669,0.3935,0.1085,0.4061,0.1168,BCC+FCC
1,1.85,4.675,0.0298,0.1079,0.0774,0.1741,0.3093,0.2082,FCC
1,2.0,4.7835,0.0455,0.1759,0.3,0.1127,0.3903,0.1216,BCC+FCC
1,2.05,4.7075,0.051,0.2041,0.2915,0.0851,0.4665,0.1727,BCC+FCC
4,1.7,4.7575,0.0386,0.1698,0.0852,0.1507,0.3461,0.1756,FCC
1,1.8,4.5935,0.0492,0.1837,0.3222,0.1024,0.4585,0.2031,BCC+FCC
1,1.55,4.519,0.0484,0.171,0.1767,0.142,0.3444,0.1865,BCC+FCC
3,2.0,4.7955,0.0349,0.1321,0.2296,0.082,0.3012,0.1316,FCC
1,1.6,4.678,0.0502,0.1871,0.1643,0.1328,0.3579,0.1454,BCC+FCC
2,1.85,4.483,0.0835,0.4989,0.309,0.1583,0.5872,0.1295,IM
4,1.8,4.1165,0.0411,0.687,0.376,0.1638,0.4777,0.07,BCC
4,1.75,4.498,0.1049,0.5199,0.3051,0.2609,0.5857,0.1317,IM
1,1.85,4.4265,0.0308,0.1467,0.1755,0.2043,0.2634,0.1761,FCC
3,1.5,4.3775,0.0444,0.346,0.35,0.1538,0.54,0.1121,BCC
1,1.85,4.732,0.0432,0.1808,0.2233,0.1057,0.3877,0.1367,BCC+FCC
1,1.95,4.5675,0.0486,0.2032,0.2857,0.1034,0.4654,0.1716,BCC+FCC
1,1.4,4.6265,0.0541,0.1776,0.1793,0.1143,0.3881,0.1891,BCC+FCC
1,1.8,4.6445,0.042,0.1591,0.2799,0.1107,0.4117,0.1454,BCC+FCC
3,1.75,4.1905,0.044,0.3864,0.3144,0.1381,0.6383,0.0794,BCC
4,1.9,4.56,0.0273,0.1018,0.0752,0.1693,0.2519,0.1941,FCC
1,1.95,4.7585,0.0511,0.1787,0.327,0.1014,0.4602,0.2026,BCC+FCC
4,1.9,4.7525,0.0285,0.1201,0.0921,0.0541,0.2845,0.1779,FCC
1,1.8,4.743,0.048,0.1689,0.2364,0.1003,0.3074,0.1922,BCC+FCC
3,1.9,4.6425,0.1161,0.5223,0.3533,0.2994,0.57,0.158,IM
1,1.75,4.668,0.0475,0.1811,0.2024,0.1179,0.2877,0.1918,BCC+FCC
4,1.8,4.7475,0.0382,0.1564,0.1192,0.124,0.3147,0.1269,FCC
3,1.8,4.875,0.0245,0.0913,0.0602,0.0766,0.3206,0.1589,FCC
1,1.85,4.666,0.0479,0.1793,0.3004,0.0962,0.5596,0.2397,BCC+FCC
3,1.85,4.7245,0.0916,0.3819,0.4074,0.2814,0.5198,0.1591,IM
1,1.95,4.791,0.0511,0.1776,0.3274,0.1079,0.4779,0.1888,BCC+FCC
1,1.8,4.626,0.051,0.187,0.3228,0.1003,0.4261,0.2002,BCC+FCC
1,2.0,4.726,0.046,0.1696,0.3249,0.1006,0.4467,0.1878,BCC+FCC
3,1.9,4.889,0.0272,0.1122,0.1659,0.0801,0.3429,0.1572,FCC
3,1.6,4.488,0.0835,0.5917,0.3068,0.2133,0.6255,0.1192,IM
1,1.95,4.8485,0.0496,0.2022,0.2481,0.0925,0.437,0.1322,BCC+FCC
1,2.15,4.6725,0.0428,0.169,0.3608,0.1078,0.3864,0.1169,BCC+FCC
4,1.9,4.755,0.0381,0.1536,0.119,0.104,0.2684,0.124,FCC
1,2.05,4.6875,0.0503,0.2106,0.2902,0.0955,0.373,0.1241,BCC+FCC
1,1.55,4.5865,0.0476,0.1564,0.1747,0.1375,0.3405,0.1584,BCC+FCC
1,1.75,4.7045,0.0503,0.1782,0.2843,0.0899,0.4492,0.2457,BCC+FCC
1,1.9,4.8345,0.0499,0.1716,0.285,0.0944,0.4261,0.202,BCC+FCC
1,2.05,4.7095,0.0501,0.1814,0.2965,0.1228,0.4595,0.1772,BCC+FCC
2,1.95,4.8015,0.026,0.1067,0.1669,0.067,0.3659,0.172,FCC
1,2.1,4.741,0.0417,0.1598,0.3232,0.1018,0.3729,0.131,BCC+FCC
2,1.95,4.112,0.0437,0.4841,0.4525,0.1451,0.4904,0.0669,BCC
4,1.8,4.7675,0.0259,0.0838,0.0591,0.0838,0.2635,0.1258,FCC
1,1.9,4.6665,0.0345,0.1252,0.1713,0.1663,0.3153,0.1892,FCC
1,1.75,4.753,0.048,0.1669,0.2373,0.1112,0.4617,0.2382,BCC+FCC
1,1.85,4.671,0.0484,0.1739,0.326,0.1017,0.5643,0.2334,BCC+FCC
1,1.95,4.69,0.0314,0.1055,0.0786,0.173,0.2149,0.1783,FCC
1,1.95,4.692,0.0476,0.1973,0.192,0.137,0.3511,0.1923,BCC+FCC
2,1.9,4.6775,0.0232,0.1093,0.091,0.0915,0.3528,0.2068,FCC
1,2.2,4.685,0.0457,0.1791,0.3427,0.114,0.4278,0.1389,BCC+FCC
1,1.85,4.535,0.0413,0.177,0.3068,0.1337,0.5356,0.2676,BCC+FCC
1,1.7,4.537,0.0501,0.1827,0.2812,0.1276,0.4013,0.1651,BCC+FCC
1,2.0,4.599,0.03,0.1177,0.1712,0.1708,0.2914,0.2055,FCC
1,2.0,4.669,0.0351,0.1229,0.1733,0.1847,0.3132,0.2125,FCC
1,1.9,4.792,0.0448,0.1621,0.2822,0.106,0.404,0.16,BCC+FCC
4,1.85,4.5765,0.0845,0.4343,0.2489,0.194,0.6086,0.1353,IM
4,1.85,4.7715,0.0361,0.1655,0.1701,0.1582,0.3658,0.138,FCC
1,2.05,4.754,0.0341,0.1192,0.1724,0.1763,0.2887,0.1971,FCC
3,1.8,4.172,0.0374,0.4273,0.4534,0.1654,0.487,0.0734,BCC
1,1.95,4.5245,0.0409,0.1624,0.2772,0.1347,0.3453,0.1626,BCC+FCC
1,1.95,4.807,0.0501,0.1972,0.1945,0.1436,0.3915,0.181,BCC+FCC
1,1.85,4.6775,0.0341,0.1163,0.0811,0.1837,0.2655,0.198,FCC
1,1.7,4.602,0.0462,0.2017,0.189,0.1133,0.3817,0.1375,BCC+FCC
2,1.75,4.5295,0.0715,0.431,0.315,0.1717,0.589,0.124,IM
1,1.9,4.664,0.0348,0.1265,0.1723,0.1754,0.3337,0.2053,FCC
1,2.15,4.72,0.0476,0.1716,0.364,0.123,0.4486,0.1778,BCC+FCC
4,1.8,4.794,0.0351,0.134,0.1756,0.1187,0.3006,0.1064,FCC
1,1.9,4.8925,0.0328,0.1637,0.059,0.1551,0.3412,0.1731,FCC
1,1.8,4.7495,0.0505,0.1748,0.2836,0.1089,0.3941,0.1582,BCC+FCC
3,1.9,4.739,0.0361,0.1487,0.1855,0.1161,0.338,0.1334,FCC
2,1.95,4.7425,0.027,0.1539,0.0608,0.1769,0.3097,0.1708,FCC
1,1.85,4.592,0.0413,0.1916,0.2268,0.1182,0.3836,0.1405,BCC+FCC
4,1.85,4.498,0.099,0.5839,0.358,0.2504,0.6165,0.1182,IM
1,1.95,4.675,0.0504,0.2085,0.2931,0.1117,0.4186,0.1267,BCC+FCC
1,1.85,4.6435,0.0487,0.179,0.3224,0.0967,0.4325,0.2125,BCC+FCC
4,2.05,4.672,0.0307,0.1333,0.2767,0.0968,0.3693,0.139,FCC
4,2.0,4.6975,0.0287,0.0977,0.08,0.1821,0.2884,0.2205,FCC
4,1.8,4.1,0.0379,0.5634,0.3465,0.1281,0.4904,0.08,BCC
4,1.95,4.859,0.0316,0.1428,0.1332,0.0704,0.3518,0.1461,FCC
3,1.85,4.688,0.0347,0.1316,0.2278,0.1053,0.3363,0.1208,FCC
1,2.2,4.695,0.0401,0.1659,0.3381,0.0995,0.4282,0.1443,BCC+FCC
4,2.0,4.67,0.0231,0.0995,0.0887,0.1369,0.2979,0.1892,FCC
3,1.75,4.6005,0.1061,0.5631,0.3036,0.2293,0.6062,0.1279,IM
2,1.8,4.5235,0.0707,0.4282,0.3369,0.1668,0.592,0.123,IM
2,1.7,4.585,0.1093,0.5798,0.3359,0.2534,0.7297,0.1295,IM
1,2.0,4.6645,0.04,0.1828,0.1877,0.1147,0.3667,0.1801,BCC+FCC
