Pm.3,e/a,EWF,ad-e/n.2,δ-e/n.1,δ-ρ,δ-Ec.1,δ-G.1,δ-υ,
1,1.5,4.688,0.0487,0.1745,0.2358,0.1073,0.5154,0.2031,BCC+FCC
1,1.55,4.7055,0.0473,0.1716,0.2356,0.1073,0.5212,0.2062,BCC+FCC
1,1.55,4.6905,0.0515,0.1798,0.2382,0.0999,0.5363,0.2449,BCC+FCC
1,1.55,4.652,0.0545,0.1883,0.2853,0.1073,0.5279,0.1995,BCC+FCC
1,1.65,4.702,0.0448,0.1694,0.2822,0.1138,0.4641,0.1572,BCC+FCC
1,1.65,4.672,0.0527,0.1846,0.2858,0.1017,0.5545,0.245,BCC+FCC
1,1.7,4.651,0.0556,0.193,0.328,0.1102,0.5519,0.2034,BCC+FCC
1,1.75,4.6685,0.0538,0.1884,0.3278,0.1104,0.5576,0.2067,BCC+FCC
1,1.8,4.701,0.0486,0.1778,0.3264,0.1156,0.486,0.1597,BCC+FCC
1,1.8,4.6785,0.0517,0.1823,0.3274,0.1055,0.5759,0.2299,BCC+FCC
1,1.8,4.671,0.0501,0.1784,0.3268,0.1009,0.5787,0.2485,BCC+FCC
1,2,4.877,0.0447,0.159,0.2835,0.0867,0.4405,0.197,BCC+FCC
1,1.75,4.7145,0.0478,0.17,0.2845,0.0829,0.4836,0.2723,BCC+FCC
1,1.85,4.772,0.0487,0.1681,0.2854,0.0847,0.4952,0.2499,BCC+FCC
1,1.8,4.7395,0.0481,0.168,0.2851,0.0836,0.5023,0.2642,BCC+FCC
1,1.95,4.8295,0.0458,0.1603,0.2844,0.0857,0.4939,0.2204,BCC+FCC
1,1.95,4.7835,0.053,0.1807,0.3279,0.0958,0.4546,0.2171,BCC+FCC
1,2.1,4.866,0.0461,0.1639,0.3263,0.0974,0.454,0.1761,BCC+FCC
1,1.85,4.696,0.0473,0.1695,0.3257,0.092,0.5369,0.2634,BCC+FCC
1,2.15,4.8835,0.0412,0.1539,0.3249,0.0972,0.4555,0.1571,BCC+FCC
1,1.95,4.7535,0.0487,0.169,0.3272,0.0943,0.539,0.2357,BCC+FCC
1,1.85,4.6885,0.046,0.165,0.3254,0.0915,0.559,0.2666,BCC+FCC
1,2.1,4.7975,0.0524,0.1798,0.3667,0.1052,0.4848,0.1899,BCC+FCC
1,2.2,4.855,0.0474,0.1687,0.3659,0.1066,0.4573,0.1519,BCC+FCC
1,2,4.71,0.0488,0.172,0.365,0.1014,0.5704,0.234,BCC+FCC
1,2.25,4.819,0.0521,0.1803,0.4035,0.1141,0.4701,0.1463,BCC+FCC
1,2.2,4.7715,0.0517,0.1791,0.4031,0.1122,0.5215,0.1742,BCC+FCC
1,2.2,4.764,0.0507,0.1764,0.4029,0.1118,0.5316,0.1747,BCC+FCC
1,1.8,4.542,0.0368,0.1704,0.2892,0.1431,0.5283,0.254,BCC+FCC
1,1.8,4.612,0.0433,0.1723,0.2914,0.1267,0.5445,0.2622,BCC+FCC
3,1.7,4.6415,0.0317,0.117,0.1651,0.1039,0.325,0.1278,FCC
4,1.85,4.694,0.0252,0.1047,0.1645,0.0915,0.3441,0.1447,FCC
3,1.8,4.7015,0.0261,0.1081,0.1644,0.0976,0.3427,0.139,FCC
3,1.75,4.709,0.027,0.1101,0.1642,0.1027,0.3378,0.1328,FCC
3,1.9,4.7115,0.0231,0.099,0.1643,0.0846,0.3502,0.1485,FCC
4,1.85,4.719,0.0243,0.1034,0.1642,0.0921,0.3486,0.1426,FCC
4,1.85,4.6405,0.032,0.1294,0.2272,0.1029,0.3523,0.1345,FCC
3,1.9,4.658,0.0297,0.1245,0.227,0.0989,0.3584,0.1402,FCC
3,1.95,4.6755,0.0274,0.1189,0.2267,0.0937,0.3645,0.1449,FCC
2,1.9,4.683,0.0294,0.1238,0.2272,0.0997,0.3628,0.1394,FCC
2,2,4.6395,0.0306,0.1351,0.2766,0.101,0.3784,0.1404,FCC
2,2.05,4.657,0.0281,0.1284,0.2764,0.0959,0.3843,0.1452,FCC
4,2,4.6645,0.0312,0.135,0.2772,0.1017,0.3823,0.1397,FCC
2,2.05,4.682,0.0289,0.1287,0.277,0.0966,0.3879,0.1434,FCC
3,2.05,4.849,0.0245,0.0943,0.1645,0.052,0.2706,0.1349,FCC
4,2.05,4.8165,0.0244,0.0938,0.1647,0.0518,0.2702,0.1364,FCC
4,2.05,4.874,0.0233,0.0928,0.164,0.052,0.2926,0.1419,FCC
3,2.05,4.8415,0.0236,0.0926,0.1644,0.0518,0.2922,0.1435,FCC
4,2.05,4.899,0.0218,0.0911,0.1634,0.052,0.3124,0.146,FCC
2,2.05,4.8665,0.0225,0.0912,0.1639,0.0518,0.3119,0.1478,FCC
3,2.05,4.834,0.0226,0.0907,0.1643,0.0516,0.3114,0.1496,FCC
2,2.05,4.8915,0.0211,0.0897,0.1633,0.0518,0.3294,0.1497,FCC
4,2.05,4.859,0.0216,0.0895,0.1638,0.0516,0.3288,0.1516,FCC
2,2.05,4.949,0.0186,0.0873,0.1614,0.0518,0.3456,0.1474,FCC
2,2.05,4.9165,0.0195,0.088,0.1624,0.0517,0.3449,0.1495,FCC
3,2.05,4.884,0.0204,0.0881,0.1632,0.0516,0.3441,0.1517,FCC
3,2.05,4.8515,0.0208,0.0875,0.1637,0.0514,0.3434,0.1537,FCC
4,2.1,4.813,0.0297,0.1161,0.2275,0.0707,0.2872,0.1228,FCC
4,2.1,4.7805,0.0288,0.115,0.2271,0.0703,0.2868,0.1242,FCC
3,2.1,4.8055,0.0286,0.1144,0.2273,0.0705,0.308,0.1341,FCC
3,2.1,4.773,0.0276,0.1129,0.227,0.07,0.3076,0.1356,FCC
4,2.1,4.798,0.0276,0.1124,0.2272,0.0702,0.3266,0.1421,FCC
3,2.1,4.888,0.0272,0.1132,0.2271,0.0711,0.3448,0.142,FCC
3,2.1,4.823,0.0272,0.1118,0.2273,0.0704,0.3436,0.1458,FCC
2,2.1,4.7905,0.0265,0.1103,0.2271,0.07,0.343,0.1477,FCC
4,2.1,4.913,0.0259,0.112,0.2266,0.0712,0.36,0.1431,FCC
1,2.1,4.8805,0.0265,0.1118,0.227,0.0709,0.3593,0.1452,FCC
4,2.1,4.848,0.0266,0.1111,0.2271,0.0706,0.3586,0.1473,FCC
1,2.1,4.8155,0.0263,0.1098,0.2271,0.0702,0.3579,0.1493,FCC
4,2.1,4.9055,0.0253,0.1107,0.2265,0.071,0.3723,0.1444,FCC
3,2.1,4.873,0.0258,0.1102,0.2269,0.0707,0.3714,0.1467,FCC
1,2.1,4.8405,0.0258,0.1092,0.227,0.0703,0.3706,0.1489,FCC
2,2.1,4.808,0.0253,0.1076,0.227,0.0699,0.3697,0.151,FCC
1,2.1,4.7755,0.0243,0.1054,0.2268,0.0694,0.3688,0.1531,FCC
4,2.1,4.743,0.0229,0.1024,0.2264,0.0689,0.3679,0.1552,FCC
3,2.15,4.777,0.0339,0.1337,0.2778,0.0844,0.3032,0.1076,FCC
4,2.15,4.7445,0.0322,0.1319,0.277,0.0838,0.3028,0.109,FCC
3,2.15,4.7945,0.0329,0.1315,0.278,0.0844,0.342,0.1313,FCC
4,2.15,4.762,0.0315,0.1296,0.2775,0.0838,0.3415,0.133,FCC
4,2.15,4.7295,0.0296,0.1273,0.2767,0.0832,0.341,0.1346,FCC
2,2.15,4.787,0.0318,0.1295,0.2779,0.0841,0.3581,0.1387,FCC
4,2.15,4.722,0.0283,0.1246,0.2765,0.0829,0.3569,0.1423,FCC
4,2.15,4.732,0.0267,0.1193,0.2769,0.0826,0.3915,0.1503,FCC
1,2.25,4.73,0.0404,0.161,0.3614,0.1043,0.3531,0.0873,BCC+FCC
1,2.25,4.805,0.043,0.1613,0.3638,0.1058,0.4016,0.1228,BCC+FCC
1,2.25,4.74,0.0392,0.1569,0.362,0.1042,0.4002,0.1267,BCC+FCC
1,2.25,4.83,0.0433,0.1611,0.3643,0.1062,0.4141,0.1267,BCC+FCC
1,2.25,4.855,0.0434,0.1609,0.3646,0.1066,0.4243,0.128,BCC+FCC
1,2.25,4.8075,0.0408,0.1555,0.3639,0.1053,0.4326,0.132,BCC+FCC
1,2.3,4.769,0.0466,0.1731,0.401,0.1132,0.415,0.1126,BCC+FCC
1,2.25,4.628,0.0485,0.1869,0.3892,0.1129,0.4593,0.1361,BCC+FCC
1,2.05,4.554,0.0447,0.1695,0.2024,0.1148,0.3201,0.1355,BCC+FCC
1,2.05,4.579,0.0456,0.1721,0.2054,0.1141,0.3261,0.1346,BCC+FCC
1,2.05,4.604,0.0465,0.1746,0.2081,0.1134,0.3283,0.1317,BCC+FCC
1,2.05,4.614,0.0424,0.1637,0.2021,0.1094,0.3341,0.1385,BCC+FCC
4,2.05,4.449,0.0203,0.0835,0.1618,0.1756,0.263,0.2005,FCC
1,2.15,4.8775,0.05,0.1922,0.3199,0.0943,0.4531,0.1307,BCC+FCC
1,2.2,4.849,0.0556,0.2044,0.3607,0.1062,0.4624,0.1308,BCC+FCC
1,2.2,4.834,0.0542,0.201,0.3604,0.1059,0.4648,0.1262,BCC+FCC
1,2.25,4.8465,0.0522,0.1894,0.3822,0.1118,0.4538,0.1272,BCC+FCC
1,2.1,4.833,0.0511,0.1847,0.2583,0.1136,0.3677,0.1188,BCC+FCC
1,2.15,4.8395,0.0509,0.1829,0.2987,0.1199,0.3877,0.1216,BCC+FCC
1,2.2,4.881,0.0442,0.1647,0.3299,0.1115,0.4116,0.1266,BCC+FCC
1,2.05,4.7015,0.0352,0.121,0.1734,0.1855,0.2873,0.2054,FCC
1,2.05,4.754,0.0341,0.1192,0.1724,0.1763,0.2887,0.1971,FCC
4,2.05,4.679,0.0323,0.1134,0.1729,0.1842,0.3328,0.2224,FCC
1,1.6,4.5305,0.044,0.1675,0.2302,0.0991,0.381,0.1524,BCC+FCC
1,1.55,4.523,0.0438,0.1772,0.2307,0.0947,0.3913,0.18,BCC+FCC
1,1.5,4.523,0.0472,0.1835,0.2317,0.0931,0.3995,0.1927,BCC+FCC
