Pm,e/a,EWF,ad-e/n,δ-e/n,δ-ρ,δ-Ec,δ-G,δ-υ,Phase
3,1.8235,4.2941,0.0537,0.3846,0.5553,0.245,0.3671,0.0734,BCC
3,1.75,4.125,0.0245,0.3015,0.3529,0.1088,0.4667,0.074,BCC
3,1.7368,4.3663,0.0369,0.233,0.3989,0.2496,0.6731,0.1094,BCC
2,1.6,4.406,0.0356,0.3466,0.4577,0.1901,0.6071,0.1425,BCC
3,1.75,4.1825,0.0397,0.3949,0.395,0.1403,0.8489,0.0936,BCC
1,1.9129,4.3592,0.0209,0.1602,0.2588,0.1631,0.4477,0.1327,BCC
3,1.7059,4.4294,0.0495,0.2907,0.4348,0.2727,0.3583,0.1994,BCC
3,1.6667,4.1767,0.0428,0.4303,0.4083,0.1775,0.2367,0.0228,BCC
3,1.697,4.2333,0.0377,0.286,0.2453,0.1777,0.3648,0.0444,BCC
1,2,4.5862,0.0605,0.232,0.3966,0.1282,0.551,0.181,BCC
1,1.9091,4.5191,0.0437,0.1714,0.3039,0.1474,0.3688,0.1686,BCC
3,1.5789,4.3168,0.0351,0.2703,0.2812,0.16,0.7511,0.1177,BCC
3,1.75,4.35,0.0476,0.4783,0.4334,0.1786,0.5803,0.1144,BCC
3,1.6389,4.2639,0.0347,0.2737,0.2707,0.1713,0.7391,0.0842,BCC
2,1.25,4.4325,0.0417,0.2799,0.2755,0.2418,0.5819,0.2412,BCC
1,2.8529,4.3397,0.0169,0.1228,0.5348,0.085,0.5307,0.0787,BCC
3,1.7144,4.3114,0.0425,0.2685,0.2555,0.1552,0.6254,0.1013,BCC
2,1.75,4.4275,0.039,0.2082,0.4621,0.2674,0.641,0.2263,BCC
3,1.5556,4.4144,0.0334,0.3348,0.4025,0.1574,0.5445,0.1384,BCC
3,1.8679,4.1725,0.043,0.463,0.4892,0.2061,0.4833,0.0748,BCC
4,1.7999,4.1815,0.0387,0.3877,0.4771,0.1794,0.4678,0.0565,BCC
1,1.6,4.496,0.069,0.4129,0.5203,0.3161,0.4527,0.2113,BCC
3,1.7,4.229,0.0323,0.2994,0.4547,0.1863,0.4736,0.0565,BCC
3,1.75,4.245,0.0443,0.3007,0.2261,0.1735,0.3731,0.0594,BCC
2,2.0476,4.6667,0.0457,0.1676,0.3519,0.0991,0.4648,0.2004,BCC
1,1.7931,4.6938,0.0457,0.1689,0.2714,0.102,0.4349,0.1922,BCC+FCC
1,1.9706,4.6329,0.0517,0.1886,0.3742,0.1127,0.4897,0.1774,BCC+FCC
1,2,4.716,0.0419,0.1595,0.3233,0.115,0.3912,0.119,BCC+FCC
3,2.08,4.8186,0.0422,0.1559,0.3084,0.0921,0.4415,0.1799,BCC+FCC
1,1.8571,4.6705,0.0486,0.1807,0.1977,0.1063,0.383,0.2045,BCC+FCC
3,1.8371,4.4671,0.0296,0.1236,0.1866,0.1492,0.2458,0.151,BCC+FCC
1,1.7778,4.7144,0.0658,0.2747,0.1694,0.2138,0.4314,0.1984,BCC+FCC
1,1.8182,4.6373,0.0473,0.1778,0.3094,0.1054,0.4718,0.1964,BCC+FCC
1,2,4.68,0.0409,0.1596,0.2929,0.0869,0.3187,0.1333,BCC+FCC
1,1.8462,4.7161,0.0466,0.1702,0.2861,0.1038,0.4274,0.1823,BCC+FCC
1,1.7333,4.7573,0.0751,0.3031,0.1852,0.2247,0.4806,0.2023,BCC+FCC
1,1.6429,4.745,0.0491,0.1843,0.1522,0.0477,0.3518,0.2483,BCC+FCC
1,1.7692,4.7202,0.0423,0.1584,0.2298,0.0922,0.4096,0.2026,BCC+FCC
1,2,4.6536,0.0516,0.1978,0.3365,0.1006,0.4959,0.2096,BCC+FCC
3,1.6845,4.4074,0.0342,0.1491,0.1031,0.1588,0.3131,0.2072,BCC+FCC
1,2.7368,4.3869,0.027,0.1526,0.5877,0.1052,0.6004,0.1054,BCC+FCC
3,1.697,4.6815,0.0469,0.1863,0.1576,0.049,0.2851,0.1995,BCC+FCC
1,2.2308,4.5923,0.0479,0.1794,0.4494,0.1153,0.5326,0.1802,BCC+FCC
1,1.9231,4.6492,0.0501,0.1841,0.349,0.1103,0.4757,0.1814,BCC+FCC
1,2.6429,4.425,0.0337,0.167,0.5888,0.1145,0.6153,0.1228,BCC+FCC
1,2.7917,4.3646,0.0226,0.1406,0.5728,0.0972,0.5773,0.0937,BCC+FCC
1,1.7037,4.7522,0.0463,0.1603,0.2057,0.0962,0.3165,0.1512,BCC+FCC
3,2.1429,4.7971,0.0309,0.1265,0.2712,0.0824,0.3645,0.1423,BCC+FCC
1,2.0667,4.292,0.0514,0.2725,0.4055,0.3705,0.5285,0.1876,BCC+FCC
1,1.7719,4.7274,0.0489,0.1711,0.2576,0.1021,0.3498,0.1494,BCC+FCC
4,1.8214,4.8107,0.0301,0.1156,0.0809,0.0278,0.3163,0.2092,FCC
1,1.5,4.6625,0.0387,0.147,0.0878,0.0855,0.4171,0.23,FCC
3,1.91,4.365,0.0187,0.074,0.0543,0.184,0.1997,0.1854,FCC
3,2,4.8401,0.0357,0.1393,0.2719,0.1059,0.3473,0.1125,FCC
4,1.8136,4.8261,0.0372,0.1373,0.1588,0.0633,0.331,0.1988,FCC
