Al,Co,Cr,Cu,Fe,Ni,Mo,Ti,W,Nb,Ta,V,Mn,Hf,Zr,Pm,Phase
0,0,26.0416667,3.6458333,26.0416667,0,0,0,0,0,0,26.0416667,18.2291667,0,0,3,BCC+FCC
12.2807,0,17.5439,17.5439,17.5439,35.0877,0,0,0,0,0,0,0,0,0,1,BCC+FCC
0,0,25,0,0,0,25,25,0,25,0,0,0,0,0,2,BCC
13,0,0,0,36,18,0,0,0,0,0,0,33,0,0,3,IM
0,19.26782274,19.26782274,0,19.26782274,19.26782274,3.66088632,0,0,0,0,0,19.26782274,0,0,3,IM
0,16.66666667,16.66666667,0,16.66666667,16.66666667,0,0,0,0,0,16.66666667,16.66666667,0,0,3,IM
0,21.0526,21.0526,0,21.0526,21.0526,0,0,0,15.7895,0,0,0,0,0,1,IM
15.3846,15.3846,15.3846,0,15.3846,15.3846,23.0769,0,0,0,0,0,0,0,0,1,IM
30,16.6666667,16.6666667,0,16.6666667,16.6666667,0,3.3333333,0,0,0,0,0,0,0,3,IM
0,0,0,0,0,0,0,12.5,0,12.5,0,62.5,0,0,12.5,3,IM
6.850665352,13.7013307,13.7013307,13.7013307,13.7013307,13.7013307,0,24.64268112,0,0,0,0,0,0,0,3,IM
5.882352941,0,0,0,0,0,0,23.52941176,0,23.52941176,23.52941176,23.52941176,0,0,0,3,BCC
0,0,0,0,0,0,0,30,0,25,20,0,0,0,25,3,BCC
20,20,20,0,20,20,0,0,0,0,0,0,0,0,0,1,BCC
15.78947368,0,0,0,0,0,21.05263158,21.05263158,0,21.05263158,0,21.05263158,0,0,0,3,BCC
0,20,20,10,20,20,10,0,0,0,0,0,0,0,0,1,IM
13.04347826,0,0,0,0,0,21.73913043,21.73913043,0,0,21.73913043,21.73913043,0,0,0,3,BCC
0,0,0,0,20,0,20,20,0,20,0,20,0,0,0,3,IM
12.28070175,0,17.54385965,0,35.0877193,13.15789474,0,0,0,0,0,0,21.92982456,0,0,3,IM
14,0,0,0,33,19,0,0,0,0,0,0,34,0,0,3,IM
28.5714,14.2857,14.2857,0,14.2857,14.2857,0,14.2857,0,0,0,0,0,0,0,1,IM
7.695857852,11.53801777,11.53801777,11.53801777,11.53801777,11.53801777,0,11.53801777,0,0,0,11.53801777,11.53801777,0,0,3,IM
0,20,20,0,20,20,0,0,20,0,0,0,0,0,0,1,IM
0,0,0,0,0,0,25,25,0,25,0,25,0,0,0,3,BCC
0,20.6186,20.6186,0,20.6186,20.6186,17.5258,0,0,0,0,0,0,0,0,1,IM
0,0,0,0,0,0,9.090909091,18.18181818,0,18.18181818,18.18181818,0,0,18.18181818,18.18181818,3,BCC
10.01050053,0,12.00560028,0,35.00175009,19.9859993,0,0,0,0,0,0,22.99614981,0,0,4,FCC
0,0,0,0,0,0,8.3333333,27.7777778,0,27.7777778,0,8.3333333,0,0,27.7777778,3,BCC
28.5714,0,14.2857,0,14.2857,14.2857,28.5714,0,0,0,0,0,0,0,0,1,BCC
8.196721311,16.39344262,16.39344262,16.39344262,16.39344262,16.39344262,0,9.836065574,0,0,0,0,0,0,0,3,BCC+FCC
0,0,0,0,0,0,5,23.75,0,23.75,23.75,0,0,0,23.75,3,IM
0,12.5,31.25,0,12.5,25,0,18.75,0,0,0,0,0,0,0,1,BCC+FCC
0,0,0,0,0,0,0,30.0030003,0,20.0120012,9.9909991,0,0,15.00150015,24.99249925,4,BCC
14.4144,18.018,18.018,13.5135,18.018,18.018,0,0,0,0,0,0,0,0,0,1,BCC+FCC
0,17.3553719,17.3553719,17.3553719,17.3553719,17.3553719,0,0,0,13.2231405,0,0,0,0,0,3,IM
5.660377358,0,0,0,0,0,0,18.86792453,0,18.86792453,18.86792453,0,0,18.86792453,18.86792453,3,BCC
16,16,16,0,16,16,20,0,0,0,0,0,0,0,0,1,IM
17.8571,17.8571,0,0,17.8571,17.8571,0,0,0,0,0,0,28.5714,0,0,1,FCC
