Pm,Ω,e/a,EWF,G,ad-e/n,ad-G,δ-e/n,δ-ρ,Phase
1,1.5864,2.05,4.6535,74.83,0.0485,20.745,0.1801,0.3256,BCC+FCC
1,2.0667,1.95,4.736,63.86,0.0487,22.358,0.1934,0.2741,BCC+FCC
4,10.7414,1.85,4.6555,61.725,0.0344,20.115,0.1318,0.2275,FCC
4,1.7071,1.8,4.575,64.585,0.0714,32.9305,0.3666,0.3554,IM
1,2.637,1.85,4.627,79.04,0.0479,21.04,0.1799,0.2828,BCC+FCC
3,2.3034,1.6,4.567,64.75,0.0941,39.425,0.486,0.2819,IM
1,4.7823,1.5,4.483,75.56,0.0493,26.228,0.1867,0.2322,BCC+FCC
1,1.7827,2.0,4.768,60.35,0.0476,21.47,0.1907,0.1813,BCC+FCC
3,67.3216,1.75,4.8575,58.68,0.0296,19.106,0.1611,0.0414,FCC
2,14.1485,1.85,4.8275,67.825,0.0228,20.56,0.0901,0.0642,FCC
1,1.8952,2.05,4.7585,65.95,0.045,21.575,0.1749,0.2992,BCC+FCC
1,1.9667,2.1,4.8085,59.16,0.042,24.426,0.1576,0.3246,BCC+FCC
1,2.9273,2.0,4.614,75.885,0.0329,11.7655,0.1243,0.1717,FCC
1,1.2931,2.1,4.821,54.995,0.0491,22.224,0.1941,0.2808,BCC+FCC
2,1.5649,1.8,4.5645,60.665,0.1045,33.888,0.5191,0.2869,IM
3,1.5361,1.8,4.4945,54.84,0.0893,34.302,0.4956,0.3303,IM
4,3.2979,1.95,4.899,63.65,0.0317,20.995,0.1437,0.1328,FCC
1,1.2823,2.15,4.8835,56.845,0.0412,24.214,0.1539,0.3249,BCC+FCC
3,30.6429,1.75,4.13,36.96,0.0383,14.246,0.5505,0.3575,BCC
1,1.937,2.1,4.702,62.21,0.0426,23.27,0.1654,0.2893,BCC+FCC
2,1.912,1.8,4.5715,64.81,0.0984,30.732,0.5389,0.3439,IM
3,1.6494,1.7,4.4725,56.885,0.1168,33.0575,0.5808,0.3253,IM
1,1.4561,2.15,4.6895,67.455,0.0463,19.4485,0.1805,0.2929,BCC+FCC
4,23.7103,1.75,4.1625,44.32,0.0429,14.064,0.5182,0.3612,BCC
1,3.9488,1.85,4.6895,62.535,0.043,28.542,0.1615,0.2822,BCC+FCC
1,1.8935,1.95,4.677,66.1,0.0459,23.12,0.1928,0.1915,BCC+FCC
1,1.7966,1.95,4.782,66.11,0.0559,26.48,0.1924,0.2954,BCC+FCC
3,13.203,1.85,4.8025,69.88,0.0242,19.256,0.0919,0.0657,FCC
1,10.3249,1.85,4.7025,65.255,0.0229,20.9895,0.0913,0.0688,FCC
1,2.643,1.8,4.7205,78.2,0.0447,24.94,0.1602,0.2357,BCC+FCC
1,13.7292,1.65,4.598,77.67,0.0492,21.842,0.1788,0.2348,BCC+FCC
2,23.1856,1.75,4.125,37.38,0.0409,11.96,0.4993,0.3584,BCC
3,1.7205,1.85,4.518,59.88,0.0773,30.99,0.4426,0.3441,IM
1,4.4898,1.9,4.49,73.015,0.0345,16.719,0.1458,0.1139,FCC
2,17.9352,1.65,4.152,37.68,0.0381,13.796,0.4267,0.3552,BCC
1,1.4309,2.05,4.74,53.84,0.0504,22.808,0.2061,0.2933,BCC+FCC
1,1.6337,2.05,4.6525,67.255,0.0474,27.674,0.1813,0.337,BCC+FCC
3,1.8569,1.75,4.5495,62.24,0.0913,34.668,0.4424,0.2907,IM
1,2.2377,1.95,4.8005,55.8,0.0508,19.57,0.1845,0.253,BCC+FCC
1,7.2499,1.7,4.6895,54.705,0.048,19.9875,0.1724,0.2831,BCC+FCC
4,5.0836,1.95,4.9225,66.185,0.0329,22.2565,0.16,0.0874,FCC
1,1.3877,2.15,4.745,53.595,0.045,23.3435,0.1735,0.3411,BCC+FCC
1,1.917,2.05,4.698,66.78,0.0493,18.854,0.1904,0.2543,BCC+FCC
4,4.2065,2.0,4.554,71.61,0.0248,16.725,0.1048,0.167,FCC
1,1.5177,2.0,4.7135,72.29,0.0476,21.605,0.1925,0.2724,BCC+FCC
3,1.8553,1.75,4.54,62.385,0.1156,35.009,0.5983,0.3158,IM
4,8.2929,1.8,4.81,71.255,0.0347,23.044,0.1356,0.0979,FCC
1,4.8826,1.85,4.702,65.32,0.0448,20.436,0.1691,0.2523,BCC+FCC
1,50.4459,1.7,4.6205,65.94,0.0461,20.396,0.1563,0.232,BCC+FCC
1,4.3813,1.55,4.478,67.015,0.0508,23.335,0.1788,0.2333,BCC+FCC
1,1.6788,2.0,4.7135,73.95,0.049,24.61,0.1748,0.325,BCC+FCC
3,4.959,1.95,4.7825,61.405,0.0368,19.365,0.2057,0.2186,FCC
1,94.4604,1.85,4.615,71.635,0.034,13.5475,0.114,0.0788,FCC
1,1.6179,2.15,4.6575,68.04,0.0429,24.948,0.1641,0.3593,BCC+FCC
4,4.2937,2.0,4.53,74.925,0.027,9.4075,0.1145,0.0901,FCC
1,10.3012,1.65,4.753,69.61,0.0478,22.058,0.1735,0.2014,BCC+FCC
1,4.8871,1.8,4.697,60.825,0.0455,27.8425,0.1685,0.2833,BCC+FCC
3,7.0757,2.0,4.8065,60.9,0.0234,20.93,0.0969,0.1652,FCC
1,1.6208,2.0,4.731,68.095,0.0477,25.0465,0.1909,0.2736,BCC+FCC
4,5.6392,2.0,4.8055,60.945,0.029,21.405,0.1196,0.2274,FCC
4,2.3881,1.9,4.5165,62.005,0.1127,30.696,0.5063,0.3666,IM
1,1.5734,1.95,4.701,62.845,0.0464,31.414,0.1645,0.3261,BCC+FCC
3,1.7329,1.8,4.468,59.345,0.0861,32.1775,0.5159,0.3368,IM
1,1.721,2.1,4.6885,72.705,0.0423,20.6325,0.1621,0.3222,BCC+FCC
2,1.8041,1.65,4.475,62.69,0.0966,34.849,0.5434,0.3621,IM
3,2.0207,1.6,4.477,61.31,0.1044,31.523,0.5655,0.3398,IM
4,51.5536,1.8,4.14,36.85,0.0431,13.37,0.4803,0.3922,BCC
3,1.9398,1.6,4.5675,64.67,0.126,31.91,0.5732,0.2953,IM
1,6.7769,1.55,4.6215,73.9,0.0497,22.83,0.1784,0.1837,BCC+FCC
1,3.6062,1.7,4.7795,65.665,0.0484,23.795,0.1696,0.2828,BCC+FCC
1,1.7009,2.0,4.817,69.485,0.0495,25.678,0.175,0.2893,BCC+FCC
3,464.6947,1.8,4.865,66.76,0.029,20.704,0.1206,0.0865,FCC
1,1.8037,2.15,4.7175,52.095,0.0422,21.283,0.1608,0.3634,BCC+FCC
3,3.6846,2.0,4.7265,66.88,0.0267,21.354,0.1209,0.1759,FCC
2,1.9729,1.7,4.508,63.41,0.0982,35.472,0.5788,0.3226,IM
1,1.2989,2.15,4.709,55.715,0.0518,24.0565,0.2027,0.3569,BCC+FCC
1,0.9223,2.2,4.8165,53.485,0.0541,23.602,0.2026,0.3599,BCC+FCC
1,1.5769,2.15,4.716,57.54,0.0478,23.148,0.1761,0.3327,BCC+FCC
1,2.3626,1.85,4.6305,67.535,0.0458,29.2385,0.1705,0.2469,BCC+FCC
1,2.6884,1.95,4.69,52.725,0.0515,21.3275,0.1848,0.3659,BCC+FCC
