Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1,
1,8.5509,1.5,4.688,56.86,0.0487,23.056,0.1745,0.2358,BCC+FCC
1,14.6107,1.55,4.7055,56.515,0.0473,23.194,0.1716,0.2356,BCC+FCC
1,123.9665,1.55,4.6905,63.235,0.0515,30.759,0.1798,0.2382,BCC+FCC
1,83.0516,1.55,4.652,56.3,0.0545,23.28,0.1883,0.2853,BCC+FCC
1,16.3635,1.65,4.702,48.89,0.0448,13.122,0.1694,0.2822,BCC+FCC
1,5.7823,1.65,4.672,62.33,0.0527,31.302,0.1846,0.2858,BCC+FCC
1,5.6742,1.7,4.651,55.05,0.0556,23.78,0.193,0.328,BCC+FCC
1,4.1943,1.75,4.6685,54.705,0.0538,23.918,0.1884,0.3278,BCC+FCC
1,3.923,1.8,4.701,47.64,0.0486,13.372,0.1778,0.3264,BCC+FCC
1,2.7387,1.8,4.6785,57.72,0.0517,28.39,0.1823,0.3274,BCC+FCC
1,2.2696,1.8,4.671,61.08,0.0501,32.052,0.1784,0.3268,BCC+FCC
1,1.6049,2,4.877,66.955,0.0447,27.2595,0.159,0.2835,BCC+FCC
1,1.7835,1.75,4.7145,74.78,0.0478,34.302,0.17,0.2845,BCC+FCC
1,1.7389,1.85,4.772,69.51,0.0487,32.47,0.1681,0.2854,BCC+FCC
1,1.7587,1.8,4.7395,71.075,0.0481,34.035,0.168,0.2851,BCC+FCC
1,1.6915,1.95,4.8295,64.24,0.0458,29.584,0.1603,0.2844,BCC+FCC
1,1.4009,1.95,4.7835,71.665,0.053,29.492,0.1807,0.3279,BCC+FCC
1,1.3165,2.1,4.866,62.69,0.0461,26.77,0.1639,0.3263,BCC+FCC
1,1.5336,1.85,4.696,68.375,0.0473,35.2525,0.1695,0.3257,BCC+FCC
1,1.2823,2.15,4.8835,56.845,0.0412,24.214,0.1539,0.3249,BCC+FCC
1,1.4776,1.95,4.7535,63.105,0.0487,31.726,0.169,0.3272,BCC+FCC
1,1.4755,1.85,4.6885,66.235,0.046,35.482,0.165,0.3254,BCC+FCC
1,1.1967,2.1,4.7975,63.695,0.0524,28.895,0.1798,0.3667,BCC+FCC
1,1.0784,2.2,4.855,58.425,0.0474,25.4275,0.1687,0.3659,BCC+FCC
1,1.2996,2,4.71,60.405,0.0488,31.6065,0.172,0.365,BCC+FCC
1,0.942,2.25,4.819,57.865,0.0521,25.9315,0.1803,0.4035,BCC+FCC
1,1.0605,2.2,4.7715,55.15,0.0517,25.895,0.1791,0.4031,BCC+FCC
1,1.0586,2.2,4.764,53.01,0.0507,24.374,0.1764,0.4029,BCC+FCC
1,1.7023,1.8,4.542,67.03,0.0368,33.229,0.1704,0.2892,BCC+FCC
1,1.6276,1.8,4.612,66.08,0.0433,33.894,0.1723,0.2914,BCC+FCC
3,2.3747,1.7,4.6415,58.695,0.0317,18.244,0.117,0.1651,FCC
4,5.1344,1.85,4.694,57.66,0.0252,19.072,0.1047,0.1645,FCC
3,4.0498,1.8,4.7015,55.95,0.0261,17.885,0.1081,0.1644,FCC
3,3.4812,1.75,4.709,54.24,0.027,16.356,0.1101,0.1642,FCC
3,8.9655,1.9,4.7115,57.315,0.0231,19.348,0.099,0.1643,FCC
4,5.7027,1.85,4.719,55.605,0.0243,18.1265,0.1034,0.1642,FCC
4,7.1617,1.85,4.6405,57.445,0.032,19.244,0.1294,0.2272,FCC
3,16.2286,1.9,4.658,57.1,0.0297,19.52,0.1245,0.227,FCC
3,42.8762,1.95,4.6755,56.755,0.0274,19.796,0.1189,0.2267,FCC
2,26.1355,1.9,4.683,55.045,0.0294,18.5185,0.1238,0.2272,FCC
2,7.5824,2,4.6395,56.195,0.0306,20.244,0.1351,0.2766,FCC
2,4.3155,2.05,4.657,55.85,0.0281,20.52,0.1284,0.2764,FCC
4,6.4701,2,4.6645,54.14,0.0312,19.152,0.135,0.2772,FCC
2,3.9719,2.05,4.682,53.795,0.0289,19.3935,0.1287,0.277,FCC
3,4.1699,2.05,4.849,71.345,0.0245,16.5925,0.0943,0.1645,FCC
4,4.2716,2.05,4.8165,71.26,0.0244,16.55,0.0938,0.1647,FCC
4,4.2556,2.05,4.874,69.29,0.0233,18.454,0.0928,0.164,FCC
3,4.3653,2.05,4.8415,69.205,0.0236,18.403,0.0926,0.1644,FCC
4,4.2894,2.05,4.899,67.235,0.0218,19.9045,0.0911,0.1634,FCC
2,4.4102,2.05,4.8665,67.15,0.0225,19.845,0.0912,0.1639,FCC
3,4.5128,2.05,4.834,67.065,0.0226,19.7855,0.0907,0.1643,FCC
2,4.4079,2.05,4.8915,65.095,0.0211,20.876,0.0897,0.1633,FCC
4,4.5203,2.05,4.859,65.01,0.0216,20.808,0.0895,0.1638,FCC
2,4.1924,2.05,4.949,63.125,0.0186,21.5725,0.0873,0.1614,FCC
2,4.3558,2.05,4.9165,63.04,0.0195,21.496,0.088,0.1624,FCC
3,4.4839,2.05,4.884,62.955,0.0204,21.4195,0.0881,0.1632,FCC
3,4.5829,2.05,4.8515,62.87,0.0208,21.343,0.0875,0.1637,FCC
4,2.565,2.1,4.813,70.785,0.0297,17.4325,0.1161,0.2275,FCC
4,2.6471,2.1,4.7805,70.7,0.0288,17.39,0.115,0.2271,FCC
3,2.6983,2.1,4.8055,68.645,0.0286,19.187,0.1144,0.2273,FCC
3,2.7758,2.1,4.773,68.56,0.0276,19.136,0.1129,0.227,FCC
4,2.7965,2.1,4.798,66.505,0.0276,20.5135,0.1124,0.2272,FCC
3,2.579,2.1,4.888,64.62,0.0272,21.616,0.1132,0.2271,FCC
3,2.7848,2.1,4.823,64.45,0.0272,21.48,0.1118,0.2273,FCC
2,2.8605,2.1,4.7905,64.365,0.0265,21.412,0.1103,0.2271,FCC
4,2.5085,2.1,4.913,62.565,0.0259,22.1885,0.112,0.2266,FCC
1,2.6376,2.1,4.8805,62.48,0.0265,22.112,0.1118,0.227,FCC
4,2.7428,2.1,4.848,62.395,0.0266,22.0355,0.1111,0.2271,FCC
1,2.8265,2.1,4.8155,62.31,0.0263,21.959,0.1098,0.2271,FCC
4,2.5484,2.1,4.9055,60.425,0.0253,22.265,0.1107,0.2265,FCC
3,2.6699,2.1,4.873,60.34,0.0258,22.18,0.1102,0.2269,FCC
1,2.7648,2.1,4.8405,60.255,0.0258,22.095,0.1092,0.227,FCC
2,2.8338,2.1,4.808,60.17,0.0253,22.01,0.1076,0.227,FCC
1,2.8732,2.1,4.7755,60.085,0.0243,21.925,0.1054,0.2268,FCC
4,2.8722,2.1,4.743,60,0.0229,21.84,0.1024,0.2264,FCC
3,1.865,2.15,4.777,70.225,0.0339,18.2725,0.1337,0.2778,FCC
4,1.9335,2.15,4.7445,70.14,0.0322,18.23,0.1319,0.277,FCC
3,2.0019,2.15,4.7945,66.03,0.0329,21.301,0.1315,0.278,FCC
4,2.0741,2.15,4.762,65.945,0.0315,21.2415,0.1296,0.2775,FCC
4,2.1338,2.15,4.7295,65.86,0.0296,21.182,0.1273,0.2767,FCC
2,2.0685,2.15,4.787,63.89,0.0318,22.152,0.1295,0.2779,FCC
4,2.1839,2.15,4.722,63.72,0.0283,22.016,0.1246,0.2765,FCC
4,2.1218,2.15,4.732,57.385,0.0267,22.0435,0.1193,0.2769,FCC
1,1.2157,2.25,4.73,67.05,0.0404,21.59,0.161,0.3614,BCC+FCC
