Pm,Ω,e/a,EWF,G,ad-e/n,ad-G,δ-e/n,δ-ρ,Phase
3,6.8217,1.8235,4.2941,44.8706,0.0537,13.7689,0.3846,0.5553,BCC
3,9.7133,1.75,4.125,39.775,0.0245,15.325,0.3015,0.3529,BCC
3,2.7418,1.7368,4.3663,54.7158,0.0369,29.046,0.233,0.3989,BCC
2,7.7362,1.6,4.406,82.84,0.0356,46.008,0.3466,0.4577,BCC
3,35.4408,1.75,4.1825,38.65,0.0397,21.875,0.3949,0.395,BCC
1,3.0807,1.9129,4.3592,62.9052,0.0209,22.8196,0.1602,0.2588,BCC
3,4.6826,1.7059,4.4294,85.6235,0.0495,25.3834,0.2907,0.4348,BCC
3,8.3956,1.6667,4.1767,31.2333,0.0428,6.5778,0.4303,0.4083,BCC
3,18.1708,1.697,4.2333,29.9909,0.0377,10.3526,0.286,0.2453,BCC
1,1.5694,2,4.5862,56.075,0.0605,27.7438,0.232,0.3966,BCC
1,2.9319,1.9091,4.5191,74.5545,0.0437,21.4479,0.1714,0.3039,BCC
3,12.985,1.5789,4.3168,51.6053,0.0351,30.3557,0.2703,0.2812,BCC
3,5.4827,1.75,4.35,79.275,0.0476,38.8625,0.4783,0.4334,BCC
3,120.1195,1.6389,4.2639,37.8,0.0347,18.1667,0.2737,0.2707,BCC
2,5.5385,1.25,4.4325,75.65,0.0417,43.45,0.2799,0.2755,BCC
1,0.757,2.8529,4.3397,35.1648,0.0169,10.5261,0.1228,0.5348,BCC
3,12.7791,1.7144,4.3114,51.0566,0.0425,20.7463,0.2685,0.2555,BCC
2,1.7115,1.75,4.4275,72.675,0.039,46.425,0.2082,0.4621,BCC
3,7.0292,1.5556,4.4144,89.4556,0.0334,45.2395,0.3348,0.4025,BCC
3,9.1036,1.8679,4.1725,36.0679,0.043,14.3638,0.463,0.4892,BCC
4,13.9041,1.7999,4.1815,31.4134,0.0387,11.4075,0.3877,0.4771,BCC
1,6.1756,1.6,4.496,100,0.069,38.08,0.4129,0.5203,BCC
3,10.6116,1.7,4.229,32.11,0.0323,12.792,0.2994,0.4547,BCC
3,209.8582,1.75,4.245,33.475,0.0443,12.025,0.3007,0.2261,BCC
2,1.751,2.0476,4.6667,67.8286,0.0457,28.8435,0.1676,0.3519,BCC
1,6.5828,1.7931,4.6938,67.2863,0.0457,26.6695,0.1689,0.2714,BCC+FCC
1,2.7272,1.9706,4.6329,61.6854,0.0517,27.6895,0.1886,0.3742,BCC+FCC
1,3.6299,2,4.716,56.32,0.0419,20.824,0.1595,0.3233,BCC+FCC
3,1.7617,2.08,4.8186,63.5908,0.0422,26.3,0.1559,0.3084,BCC+FCC
1,2.5758,1.8571,4.6705,71.7714,0.0486,24.3374,0.1807,0.1977,BCC+FCC
3,4.1496,1.8371,4.4671,84.9121,0.0296,13.7671,0.1236,0.1866,BCC+FCC
